timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
22105895,0.001180957,-0.001279842,0.0017001337,0.035098705,0.0040694075,0.0009306906,0.99937516,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22137894,-0.0035600637,0.00065316714,-0.0020767376,0.0351003,0.0040697474,0.00090815965,0.99937516,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22169868,0.001994611,0.00020411483,0.00018618617,0.035108298,0.004072203,0.0009143277,0.9993748,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22201897,0.00060528365,-0.0002074946,-0.0006475195,0.035117105,0.0040698503,0.0009083854,0.99937457,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22229881,-0.0020457976,-0.0017139291,0.00055373844,0.03511281,0.004077496,0.0008962459,0.9993746,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22261869,0.000499079,-0.0009419664,-0.0010888526,0.035111144,0.004069233,0.0008814355,0.99937475,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22293917,0.0005131117,-0.00052673894,0.0007356502,0.03511066,0.004070258,0.0008885028,0.9993748,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22325869,-0.0010733895,-0.00033470604,0.0007603412,0.035105534,0.0040575825,0.00088640646,0.999375,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22357868,-4.4539105e-05,-0.0005240608,-0.0008511526,0.035104778,0.0040550674,0.00089513045,0.99937505,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22389882,0.000919913,-0.0008476274,-1.4203135e-05,0.035094127,0.0040525016,0.00089416903,0.9993754,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22421883,-0.0002522862,0.0031656604,-0.0015623154,0.035089623,0.0040492336,0.00089521456,0.99937564,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22453890,-0.016977908,-0.001832254,-0.005432859,0.03514643,0.004066399,0.00087770046,0.99937356,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22481881,0.07274251,0.056768704,-0.016405366,0.03527698,0.0040111006,0.0010324802,0.99936897,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22513869,-0.015900534,0.0023677272,0.022172451,0.03524487,0.0040829745,0.0009553334,0.9993699,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22545869,-0.0056609544,0.0115588615,0.018068148,0.03484173,0.0039890017,0.0007889294,0.99938464,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22577885,0.005924053,0.023941217,-0.010473523,0.034821127,0.0039302222,0.00069152453,0.9993856,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22609899,0.010592271,0.03831189,-0.019263702,0.03508268,0.0039594946,0.00089473755,0.99937624,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22641895,-0.02904901,0.03507004,-0.0033181934,0.035197966,0.0039949524,0.0009136361,0.99937195,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22673875,0.0064642373,0.021260045,0.010168505,0.035049114,0.0039731464,0.0007930123,0.9993774,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22705920,-0.0019602333,-0.010985087,0.003163034,0.034919202,0.003964009,0.00079265435,0.99938196,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22733887,0.007426571,0.0056636482,-0.013844296,0.03504219,0.0039692204,0.000849567,0.99937767,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22765892,0.0060233036,0.006110809,-0.0067307,0.03521378,0.004002851,0.00091583177,0.99937147,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22797869,-0.009384732,0.009526373,0.009660133,0.035121717,0.0039720074,0.00090106064,0.9993748,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22829885,-0.0045523117,0.012349419,-0.0038971766,0.035024922,0.00388277,0.0007448007,0.9993787,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22861869,0.016301973,0.0032933992,-0.011701815,0.03515913,0.003893751,0.0009014398,0.99937373,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22893097,-0.016688708,-0.01561408,-0.00577949,0.035269156,0.0039880536,0.0009830195,0.99936944,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22925869,0.0081516355,0.0012089689,0.0038793595,0.035314284,0.003850436,0.00093114225,0.9993684,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22957069,-0.00279671,0.00446593,0.016570669,0.035098698,0.0038147839,0.000884402,0.9993762,0.8642389,0.0034970404,0.0012643238,0.5030681,3
22989075,-0.012881277,-0.00617268,-0.003982175,0.03510368,0.003796827,0.00080475945,0.99937624,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23024308,-0.009704239,-0.0119743375,-0.0008100744,0.035210073,0.003857321,0.0009086218,0.9993721,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23057094,-0.005488146,0.0009641135,0.0036116017,0.03518402,0.003785383,0.00094153767,0.99937326,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23089108,-0.025239069,0.0041337875,0.00425262,0.03504761,0.0037531676,0.0007087803,0.9993784,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23121101,0.0563855,0.026045356,0.026020506,0.034955904,0.0037117568,0.00083370775,0.99938166,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23153069,-0.054015234,0.03228814,-0.011337192,0.034563582,0.003549585,0.0006227492,0.9993961,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23185078,0.030880587,0.012559142,-0.048445154,0.035116047,0.0033558311,0.00096859166,0.99937713,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23217099,0.011151591,-0.0041454667,-0.006426926,0.035598096,0.0033801743,0.0013187034,0.99935967,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23249108,-0.06153593,0.03177844,0.03905568,0.035271786,0.0031105627,0.0009208224,0.9993725,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23281068,-0.047006376,-0.0027647153,0.035283063,0.03463024,0.0025403944,0.0005550272,0.99939686,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23313069,0.021291241,-0.009696906,-0.019567702,0.034639943,0.0021183863,0.0007938309,0.99939734,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23345095,0.014801156,0.06390104,-0.049509935,0.03522262,0.0020044635,0.0009952971,0.999377,0.8642389,0.0034970404,0.0012643238,0.5030681,3
23377090,-0.00946989,-0.056498285,0.0140615525,0.035358924,0.0021185165,0.0010166035,0.99937195,0.8642389,0.0034970404,0.0012643238,0.5030681,3
