timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
100469779,100469779,18,40,0,0,0,1134,1917,1094,1910,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
100672998,100672998,18,40,0,0,0,1514,1503,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
100861317,100861317,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
101072950,101072950,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
101272173,101272173,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
101476322,101476322,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
101672160,101672160,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
101875614,101875614,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
102075717,102075717,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
102279602,102279602,18,40,0,0,0,1514,1514,1094,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
102498775,102498775,18,40,0,0,0,1514,1514,1113,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
102702820,102702820,18,40,0,0,0,1514,1514,1150,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
102886819,102886819,18,40,0,0,0,1514,1514,1166,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
103094739,103094739,18,40,0,0,0,1514,1514,1180,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
103293773,103293773,18,40,0,0,0,1514,1514,1214,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
103497991,103497991,18,40,0,0,0,1514,1514,1242,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
103716956,103716956,18,40,0,0,0,1514,1514,1243,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
103909076,103909076,18,40,0,0,0,1514,1514,1273,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
104104998,104104998,18,40,0,0,0,1514,1514,1273,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
104312431,104312431,18,40,0,0,0,1514,1514,1303,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
104516368,104516368,18,40,0,0,0,1514,1514,1303,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
104716543,104716543,18,40,0,0,0,1514,1514,1303,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
104918762,104918762,18,40,0,0,0,1514,1514,1333,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
105115578,105115578,18,40,0,0,0,1514,1514,1333,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
105335495,105335495,18,40,0,0,0,1514,1514,1363,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
105530781,105530781,18,40,0,0,0,1514,1514,1379,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
105730948,105730948,18,40,0,0,0,1514,1514,1393,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
105934750,105934750,18,40,0,0,0,1514,1514,1394,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
106126789,106126789,18,40,0,0,0,1514,1514,1395,1520,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
106341778,106341778,18,40,0,0,0,1514,1514,1426,1520,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
106537788,106537788,18,40,0,0,0,1514,1514,1457,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
106737858,106737858,18,40,0,0,0,1514,1514,1457,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
106953019,106953019,18,40,0,0,0,1514,1507,1484,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
107145412,107145412,18,40,0,0,0,1514,1507,1485,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
107344960,107344960,18,40,0,0,0,1514,1507,1485,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
107548560,107548560,18,40,0,0,0,1514,1502,1514,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
107752386,107752386,18,40,0,0,0,1514,1498,1518,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
107952401,107952401,18,40,0,0,0,1514,1500,1546,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
108151560,108151560,18,40,0,0,0,1514,1493,1547,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
108371605,108371605,18,40,0,0,0,1514,1488,1553,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
108571503,108571503,18,40,0,0,0,1514,1482,1579,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
108770567,108770567,18,40,0,0,0,1514,1475,1579,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
108974785,108974785,18,40,0,0,0,1514,1467,1588,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
109178768,109178768,18,40,0,0,0,1514,1463,1613,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
109381962,109381962,18,40,0,0,0,1514,1496,1613,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
109573995,109573995,18,40,0,0,0,1514,1514,1613,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
109789803,109789803,18,40,0,0,0,1514,1514,1613,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
109993069,109993069,18,40,0,0,0,1514,1514,1613,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
110197149,110197149,18,40,0,0,0,1514,1510,1613,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
110396953,110396953,18,40,0,0,0,1513,1512,1615,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
110597198,110597198,18,40,0,0,0,1513,1499,1615,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
110796277,110796277,18,40,0,0,0,1513,1492,1615,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
110992147,110992147,18,40,0,0,0,1513,1483,1619,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
111198638,111198638,18,40,0,0,0,1513,1478,1649,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
111399554,111399554,18,40,0,0,0,1513,1482,1649,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
111599546,111599546,18,40,0,0,0,1514,1514,1649,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
111799561,111799561,18,40,0,0,0,1514,1514,1649,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
112014808,112014808,18,40,0,0,0,1514,1514,1649,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
112214798,112214798,18,40,0,0,0,1514,1514,1649,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
112414799,112414799,18,40,0,0,0,1514,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
112613972,112613972,18,40,0,0,0,1514,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
112821962,112821962,18,40,0,0,0,1514,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
113021775,113021775,18,40,0,0,0,1514,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
113217163,113217163,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
113417230,113417230,18,40,0,0,0,1529,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
113636958,113636958,18,40,0,0,0,1522,1517,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
113832177,113832177,18,40,0,0,0,1517,1515,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
114040384,114040384,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
114228148,114228148,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
114446814,114446814,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
114631375,114631375,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
114855353,114855353,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
115039602,115039602,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
115258996,115258996,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
115450812,115450812,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
115654120,115654120,18,40,0,0,0,1514,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
115853894,115853894,18,40,0,0,0,1450,1515,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
116057926,116057926,18,40,0,0,0,1513,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
116257946,116257946,18,40,0,0,0,1514,1516,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
116461177,116461177,18,40,0,0,0,1486,1552,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
116665150,116665150,18,40,0,0,0,1454,1558,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
116873316,116873316,18,40,0,0,0,1492,1556,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
117072200,117072200,18,40,0,0,0,1512,1556,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
117288179,117288179,18,40,0,0,0,1513,1532,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
117484641,117484641,18,40,0,0,0,1514,1551,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
117680383,117680383,18,40,0,0,0,1514,1547,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
117875730,117875730,18,40,0,0,0,1514,1538,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
118091713,118091713,18,40,0,0,0,1514,1526,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
118286582,118286582,18,40,0,0,0,1514,1530,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
118502756,118502756,18,40,0,0,0,1514,1530,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
