timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
82548282,0.00072920433,-0.00070288416,0.00023685512,0.0,0.0,0.0,0.0
82639468,-0.00065427145,0.0007825321,0.0003976731,0.0,0.0,0.0,0.0
82672214,-0.00053011684,0.000717138,0.0002740447,0.0,0.0,0.0,0.0
82703487,-0.00023078723,-0.00088388345,0.0002655799,0.0,0.0,0.0,0.0
82735464,0.0006914382,-0.0011374753,2.9319897e-05,0.0,0.0,0.0,0.0
82767486,-0.00081947754,0.00035761134,-0.0013696211,0.0,0.0,0.0,0.0
82799506,-0.00072139036,0.0008190124,-0.001009109,0.0,0.0,0.0,0.0
82831427,-0.0010022144,0.0010774657,0.00044441782,0.0,0.0,0.0,0.0
82863610,-8.0764614e-05,-0.0013125875,-0.00045057153,0.0,0.0,0.0,0.0
82895443,0.00043120282,0.0011734942,0.0011081084,0.0,0.0,0.0,0.0
82923514,0.0010447883,0.001441026,-0.00086718774,0.0,0.0,0.0,0.0
82955454,0.00015371983,0.00035573076,-0.0009839169,0.0,0.0,0.0,0.0
82987479,-0.0058323108,-0.0017032503,0.013033201,0.0,0.0,0.0,0.0
83019420,-0.0043505062,-0.00052641495,-0.0069842795,0.0,0.0,0.0,0.0
83051482,0.013183718,-0.0055993767,-0.013762097,0.0,0.0,0.0,0.0
83083473,-0.0052328473,0.00011512416,0.010879593,0.0,0.0,0.0,0.0
83115421,-0.018707484,-0.0013580353,0.0085941395,0.0,0.0,0.0,0.0
83147458,0.015006465,-0.000118334545,-0.0038317882,0.0,0.0,0.0,0.0
83175434,0.014706874,0.0064399093,-0.010658983,0.0,0.0,0.0,0.0
83207497,-0.009800035,0.0019693642,0.000999023,0.0,0.0,0.0,0.0
83239476,-0.00045584058,0.0032923305,0.013830192,0.0,0.0,0.0,0.0
83271458,0.000841942,0.002039563,0.0029468883,0.0,0.0,0.0,0.0
83303471,-0.0020929445,0.0016240847,-0.012423608,0.0,0.0,0.0,0.0
83335450,0.009650181,0.002257457,-0.0011385903,0.0,0.0,0.0,0.0
83367468,-0.02087248,0.0039675524,0.011830119,0.0,0.0,0.0,0.0
83399410,-0.005714722,0.011589216,0.012205984,0.0,0.0,0.0,0.0
83430639,0.008635413,0.0012997922,-0.0015999025,0.0,0.0,0.0,0.0
83462755,0.003671776,-0.0010109767,-0.008398867,0.0,0.0,0.0,0.0
83494650,-0.013683779,0.005281388,0.0024312104,0.0,0.0,0.0,0.0
83526678,-0.0066145007,0.0046749115,0.019001015,0.0,0.0,0.0,0.0
83558654,0.0015202058,0.007133225,-0.011816598,0.0,0.0,0.0,0.0
