timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
31048060,inf,1,0,0,0,0
32066061,inf,1,0,0,0,0
33080096,inf,1,0,0,0,0
33228827,inf,0,0,1,0,0
34234180,inf,0,0,1,0,0
35244099,inf,0,0,1,0,0
35392141,inf,0,0,0,0,0
36400061,inf,0,0,0,0,0
37413249,inf,0,0,0,0,0
38420088,inf,0,0,0,0,0
39434056,inf,0,0,0,0,0
40449139,inf,0,0,0,0,0
41460097,inf,0,0,0,0,0
42478061,inf,0,0,0,0,0
43483950,inf,0,0,0,0,0
44490059,inf,0,0,0,0,0
45507248,inf,0,0,0,0,0
46518059,inf,0,0,0,0,0
47531176,inf,0,0,0,0,0
48540116,inf,0,0,0,0,0
49549210,inf,0,0,0,0,0
50554496,inf,0,0,0,0,0
51567190,inf,0,0,0,0,0
52581126,inf,0,0,0,0,0
53592289,inf,0,0,0,0,0
54601060,inf,0,0,0,0,0
55612060,inf,0,0,0,0,0
56622659,inf,0,0,0,0,0
57631617,inf,0,0,0,0,0
58643461,inf,0,0,0,0,0
59651468,inf,0,0,0,0,0
60660109,inf,0,0,0,0,0
61664150,inf,0,0,0,0,0
62677665,inf,0,0,0,0,0
63691637,inf,0,0,0,0,0
65716132,inf,0,0,0,0,0
66727504,inf,0,0,0,0,0
67738059,inf,0,0,0,0,0
68748302,inf,0,0,0,0,0
69754177,inf,0,0,0,0,0
70761110,inf,0,0,0,0,0
71772072,inf,0,0,0,0,0
72787111,inf,0,0,0,0,0
73795560,inf,0,0,0,0,0
74805108,inf,0,0,0,0,0
75816075,inf,0,0,0,0,0
76827227,inf,0,0,0,0,0
77840814,inf,0,0,0,0,0
78852325,inf,0,0,0,0,0
79857070,inf,0,0,0,0,0
80862720,inf,0,0,0,0,0
81876116,inf,0,0,0,0,0
82886423,inf,0,0,0,0,0
83907500,inf,0,0,0,0,0
84913110,inf,0,0,0,0,0
85924068,inf,0,0,0,0,0
86930618,inf,0,0,0,0,0
87942059,inf,0,0,0,0,0
88961754,inf,0,0,0,0,0
89966422,inf,0,0,0,0,0
90976315,inf,0,0,0,0,0
91987411,inf,0,0,0,0,0
93001816,inf,0,0,0,0,0
94010393,inf,0,0,0,0,0
95024244,inf,0,0,0,0,0
96034208,inf,0,0,0,0,0
97043156,inf,0,0,0,0,0
98054424,inf,0,0,0,0,0
99070988,inf,0,0,0,0,0
100084194,inf,0,0,0,0,0
101093105,inf,0,0,0,0,0
102102706,inf,0,0,0,0,0
103111234,inf,0,0,0,0,0
104117977,inf,0,0,0,0,0
105132791,inf,0,0,0,0,0
106143175,inf,0,0,0,0,0
107153147,inf,0,0,0,0,0
108159381,inf,0,0,0,0,0
109166850,inf,0,0,0,0,0
110182537,inf,0,0,0,0,0
111192104,inf,0,0,0,0,0
112203473,inf,0,0,0,0,0
113212059,inf,0,0,0,0,0
114220105,inf,0,0,0,0,0
115229128,inf,0,0,0,0,0
116238059,inf,0,0,0,0,0
117246191,inf,0,0,0,0,0
118256100,inf,0,0,0,0,0
119263637,inf,0,0,0,0,0
120272061,inf,0,0,0,0,0
121288913,inf,0,0,0,0,0
122294218,inf,0,0,0,0,0
123306155,inf,0,0,0,0,0
124316059,inf,0,0,0,0,0
125327174,inf,0,0,0,0,0
126335150,inf,0,0,0,0,0
127349125,inf,0,0,0,0,0
128360972,inf,0,0,0,0,0
129370643,inf,0,0,0,0,0
130379243,inf,0,0,0,0,0
131384110,inf,0,0,0,0,0
132395112,inf,0,0,0,0,0
133409004,inf,0,0,0,0,0
134417059,inf,0,0,0,0,0
135426801,inf,0,0,0,0,0
136438062,inf,0,0,0,0,0
137448617,inf,0,0,0,0,0
138456062,inf,0,0,0,0,0
139462061,inf,0,0,0,0,0
140470814,inf,0,0,0,0,0
141479138,inf,0,0,0,0,0
142484109,inf,0,0,0,0,0
143498060,inf,0,0,0,0,0
144510193,inf,0,0,0,0,0
145520059,inf,0,0,0,0,0
146534677,inf,0,0,0,0,0
147544152,inf,0,0,0,0,0
148555112,inf,0,0,0,0,0
149574180,inf,0,0,0,0,0
150582340,inf,0,0,0,0,0
151592432,inf,0,0,0,0,0
152601064,inf,0,0,0,0,0
153612070,inf,0,0,0,0,0
154624709,inf,0,0,0,0,0
155633793,inf,0,0,0,0,0
156644103,inf,0,0,0,0,0
157652106,inf,0,0,0,0,0
158664146,inf,0,0,0,0,0
159676062,inf,0,0,0,0,0
160689112,inf,0,0,0,0,0
161698070,inf,0,0,0,0,0
162710153,inf,0,0,0,0,0
163718628,inf,0,0,0,0,0
164727791,inf,0,0,0,0,0
165738127,inf,0,0,0,0,0
166750246,inf,0,0,0,0,0
167760874,inf,0,0,0,0,0
