timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
31312147,5.088574,0.0,0,0,1,0,0,0,0
31822200,5.0966306,0.0,0,0,1,0,0,0,0
32322189,5.067627,0.0,0,0,1,0,0,0,0
32822146,5.0998535,0.0,0,0,1,0,0,0,0
33322190,5.0869627,0.0,0,0,1,0,0,0,0
33822161,5.069238,0.0,0,0,1,0,0,0,0
34322169,5.093408,0.0,0,0,1,0,0,0,0
34822176,5.088574,0.0,0,0,1,0,0,0,0
35332186,5.069238,0.0,0,0,1,0,0,0,0
35832147,5.0450683,0.0,0,0,1,0,0,0,0
36332147,5.0756836,0.0,0,0,1,0,0,0,0
36832193,5.0499024,0.0,0,0,1,0,0,0,0
37332147,5.0321774,0.0,0,0,1,0,0,0,0
37832147,5.053125,0.0,0,0,1,0,0,0,0
38332174,5.0450683,0.0,0,0,1,0,0,0,0
38832147,5.033789,0.0,0,0,1,0,0,0,0
39332147,5.0482907,0.0,0,0,1,0,0,0,0
39832147,5.0354004,0.0,0,0,1,0,0,0,0
40332168,5.017676,0.0,0,0,1,0,0,0,0
40832147,5.033789,0.0,0,0,1,0,0,0,0
41342146,5.0063963,0.0,0,0,1,0,0,0,0
41842201,5.024121,0.0,0,0,1,0,0,0,0
42352151,5.009619,0.0,0,0,1,0,0,0,0
43852147,5.0128417,0.0,0,0,1,0,0,0,0
44362176,5.004785,0.0,0,0,1,0,0,0,0
44862169,4.993506,0.0,0,0,1,0,0,0,0
45362159,5.0080075,0.0,0,0,1,0,0,0,0
45862154,5.0063963,0.0,0,0,1,0,0,0,0
46362147,4.9918942,0.0,0,0,1,0,0,0,0
46862146,5.0080075,0.0,0,0,1,0,0,0,0
47362167,5.0063963,0.0,0,0,1,0,0,0,0
47872147,4.9967284,0.0,0,0,1,0,0,0,0
48372197,4.9870605,0.0,0,0,1,0,0,0,0
48872147,5.0112305,0.0,0,0,1,0,0,0,0
49372147,5.014453,0.0,0,0,1,0,0,0,0
49872151,4.9854493,0.0,0,0,1,0,0,0,0
50382150,4.9854493,0.0,0,0,1,0,0,0,0
50882146,5.009619,0.0,0,0,1,0,0,0,0
51382152,5.004785,0.0,0,0,1,0,0,0,0
51882178,4.9838376,0.0,0,0,1,0,0,0,0
52382172,5.0128417,0.0,0,0,1,0,0,0,0
52892147,5.0063963,0.0,0,0,1,0,0,0,0
53392182,5.0112305,0.0,0,0,1,0,0,0,0
53892147,5.0015626,0.0,0,0,1,0,0,0,0
54392147,5.009619,0.0,0,0,1,0,0,0,0
54892147,5.0063963,0.0,0,0,1,0,0,0,0
55402145,5.004785,0.0,0,0,1,0,0,0,0
55902146,4.9918942,0.0,0,0,1,0,0,0,0
56402160,5.004785,0.0,0,0,1,0,0,0,0
56902174,5.0063963,0.0,0,0,1,0,0,0,0
57402163,4.9918942,0.0,0,0,1,0,0,0,0
57902153,5.0080075,0.0,0,0,1,0,0,0,0
58412156,5.003174,0.0,0,0,1,0,0,0,0
58912147,4.9918942,0.0,0,0,1,0,0,0,0
59412147,4.9854493,0.0,0,0,1,0,0,0,0
59922162,4.9854493,0.0,0,0,1,0,0,0,0
60422189,4.993506,0.0,0,0,1,0,0,0,0
60922146,4.993506,0.0,0,0,1,0,0,0,0
61422176,4.9838376,0.0,0,0,1,0,0,0,0
61922174,5.009619,0.0,0,0,1,0,0,0,0
62422195,4.995117,0.0,0,0,1,0,0,0,0
62932150,4.9983397,0.0,0,0,1,0,0,0,0
63432147,4.9870605,0.0,0,0,1,0,0,0,0
63932156,5.004785,0.0,0,0,1,0,0,0,0
64432147,5.0015626,0.0,0,0,1,0,0,0,0
64942175,5.0063963,0.0,0,0,1,0,0,0,0
65442157,4.980615,0.0,0,0,1,0,0,0,0
65942154,5.0015626,0.0,0,0,1,0,0,0,0
66452149,5.0063963,0.0,0,0,1,0,0,0,0
66952175,5.004785,0.0,0,0,1,0,0,0,0
67452151,5.0015626,0.0,0,0,1,0,0,0,0
67952147,5.003174,0.0,0,0,1,0,0,0,0
68452147,5.003174,0.0,0,0,1,0,0,0,0
68952163,5.0112305,0.0,0,0,1,0,0,0,0
