timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
30916928,-0.45973715,0.41761306,-0.023589008,0.0,0.9530375,-0.22050439,0.20445485,0.03599366,0.0,0.0,-0.08,1,0,0,0,0,0
31016892,-0.46359783,0.41325858,-0.023459092,0.0,0.95303893,-0.2224844,0.20229843,0.03595563,0.0,0.0,-0.08,1,0,0,0,0,0
31120943,-0.011816236,0.06679996,0.075022325,0.0,0.9987144,-0.0071529583,0.03314825,0.03767795,0.0,0.0,-0.08,1,0,0,0,0,0
31220885,-0.0020781204,-0.0010141553,0.075390466,0.0,0.999289,-0.0010192118,-0.0005458755,0.037685756,0.0,0.0,-0.08,1,0,0,0,0,0
31324913,-2.218896e-05,-2.5157724e-05,0.07532319,0.0,0.9992909,-1.0612985e-05,-1.2987679e-05,0.03765269,0.0,0.0,-0.08,1,0,0,0,0,0
31429001,-3.0376498e-08,-4.2080026e-07,0.0774694,0.0,0.9992499,-7.0291075e-09,-2.1083046e-07,0.038725015,0.0,0.0,-0.08,1,0,0,0,0,0
31532251,2.4355149e-08,7.646833e-09,0.07429897,0.0,0.99931,1.2027167e-08,4.273065e-09,0.03714094,0.0,0.0,-0.08,1,0,0,0,0,0
31634457,3.2115066e-10,2.4982522e-10,0.07519317,0.0,0.9992933,1.5576668e-10,1.3086e-10,0.03758773,0.0,0.0,-0.08,1,0,0,0,0,0
31736122,0.0,-0.0,0.07558201,0.0,0.999286,0.0,0.0,0.037782013,0.0,0.0,-0.08,1,0,0,0,0,0
31836130,0.0,-0.0,0.07514784,0.0,0.99929416,0.0,0.0,0.03756508,0.0,0.0,-0.08,1,0,0,0,0,0
31940128,0.0,-0.0,0.07506327,0.0,0.9992958,0.0,0.0,0.037522826,0.0,0.0,-0.08,1,0,0,0,0,0
32040058,0.0,-0.0,0.07215569,0.0,0.99934924,0.0,0.0,0.03607002,0.0,0.0,-0.08,1,0,0,0,0,0
32140073,0.0,-0.0,0.07519961,0.0,0.9992932,0.0,0.0,0.037590947,0.0,0.0,-0.08,1,0,0,0,0,0
32244152,0.0,-0.0,0.07286378,0.0,0.9993364,0.0,0.0,0.036423832,0.0,0.0,-0.08,1,0,0,0,0,0
32344113,0.0,-0.0,0.07394712,0.0,0.9993166,0.0,0.0,0.036965135,0.0,0.0,-0.08,1,0,0,0,0,0
32448140,0.0,-0.0,0.074553736,0.0,0.9993053,0.0,0.0,0.037268236,0.0,0.0,-0.08,1,0,0,0,0,0
32547358,0.0,-0.0,0.07329825,0.0,0.9993285,0.0,0.0,0.036640923,0.0,0.0,-0.08,1,0,0,0,0,0
32651265,0.0,-0.0,0.074099176,0.0,0.9993138,0.0,0.0,0.037041113,0.0,0.0,-0.08,1,0,0,0,0,0
32751287,0.0,-0.0,0.07406606,0.0,0.99931437,0.0,0.0,0.037024565,0.0,0.0,-0.08,1,0,0,0,0,0
32851317,0.0,-0.0,0.073524706,0.0,0.9993243,0.0,0.0,0.03675407,0.0,0.0,-0.08,1,0,0,0,0,0
32955266,0.0,-0.0,0.07395674,0.0,0.9993164,0.0,0.0,0.036969945,0.0,0.0,-0.08,1,0,0,0,0,0
33059339,0.0,-0.0,0.07355953,0.0,0.9993237,0.0,0.0,0.036771473,0.0,0.0,-0.08,1,0,0,0,0,0
33159396,0.0,-0.0,0.07331049,0.0,0.99932826,0.0,0.0,0.036647037,0.0,0.0,-0.08,1,0,0,0,0,0
33263343,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.096507594,1,0,0,0,0,0
33363320,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.096208,1,0,0,0,0,0
33462620,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.09619213,1,0,0,0,0,0
33566585,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.09724837,1,0,0,0,0,0
33870462,0.0,-0.0,0.073778726,2.4e-44,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.12959498,1,0,0,0,0,0
33974560,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.12959051,1,0,0,0,0,0
34078508,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.12959036,1,0,0,0,0,0
34178547,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.12959036,1,0,0,0,0,0
34278480,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.12959036,1,0,0,0,0,0
34382514,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.15394476,1,0,0,0,0,0
34482505,0.0,-0.0,0.073778726,0.0,0.9993197,0.0,0.0,0.036880996,0.0,0.0,-0.15878567,1,0,0,0,0,0
