timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
30813237,23.771801,23.769966,0.124,0.18745941,0.0,1.6647079,0.84768635,1.0211214,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
31317271,23.6324,23.756153,0.2852,0.17142566,0.0,1.6861877,0.85566765,1.0199926,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
31816449,23.2716,23.688816,0.84319997,0.38148665,0.0,1.7563574,0.84323937,1.0217515,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
32320370,23.3946,23.609394,1.054,0.7103145,0.0,1.8904511,0.8244024,1.0244292,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
32823503,23.5996,23.566566,0.868,0.82773644,0.0,2.0192049,0.8148537,1.0257918,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
33315582,23.3618,23.535686,1.0292,0.8709972,0.0,2.1416862,0.8085752,1.0266898,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
33818824,23.263401,23.470972,1.6243999,1.033556,0.0,2.297971,0.7953611,1.0285848,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
34322779,23.3946,23.413595,1.364,1.2681334,0.0,2.5021744,0.786274,1.0298922,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
34825933,23.124,23.315773,1.86,1.5860865,0.0,2.7537265,0.7672501,1.0326396,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
35330421,22.5254,23.13271,3.2984,2.1193416,0.0,3.088197,0.7252975,1.0387509,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
35821152,21.7874,22.884949,3.9803996,2.972675,0.0,3.57987,0.67020804,1.0468864,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
36325096,22.3696,22.640003,4.34,3.8049867,0.0,4.2000213,0.615007,1.0551673,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
