timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
30887792,62.546345,38.04,100575.99,1.1950091
30909923,61.539623,38.04,100588.0,1.1951518
30920043,61.793285,38.04,100585.0,1.1951162
30931251,62.12886,38.04,100581.0,1.1950687
30953531,61.793285,38.04,100585.0,1.1951162
30964184,61.624176,38.04,100587.0,1.19514
30975112,61.95975,38.04,100582.99,1.1950923
30996026,61.70873,38.04,100586.0,1.1951281
31006680,62.12886,38.04,100581.0,1.1950687
31017581,62.546345,38.04,100575.99,1.1950091
31038028,61.624176,38.04,100587.0,1.19514
31048068,61.8752,38.04,100584.0,1.1951044
31059105,62.295326,38.04,100579.0,1.1950449
31080020,61.624176,38.05,100587.0,1.19514
31090062,62.044304,38.05,100582.0,1.1950805
31101867,61.70873,38.05,100586.0,1.1951281
31122022,61.624176,38.05,100587.0,1.19514
31132316,61.95975,38.05,100582.99,1.1950923
31143143,61.793285,38.05,100585.0,1.1951162
31164043,61.793285,38.04,100585.0,1.1951162
31174228,61.70873,38.04,100586.0,1.1951281
31185567,61.70873,38.04,100586.0,1.1951281
31206649,62.12886,38.05,100581.0,1.1950687
31216061,61.95975,38.05,100582.99,1.1950923
31227098,61.291245,38.05,100591.0,1.1951874
31248029,61.539623,38.05,100588.0,1.1951518
31258222,61.373158,38.05,100590.0,1.1951756
31270672,62.546345,38.05,100575.99,1.1950091
31292023,62.044304,38.05,100582.0,1.1950805
31303018,62.21077,38.05,100580.0,1.1950568
31314020,62.37988,38.05,100578.0,1.1950331
31337575,61.291245,38.05,100591.0,1.1951874
31348051,61.624176,38.05,100587.0,1.19514
31359118,62.295326,38.05,100579.0,1.1950449
31381848,61.206688,38.05,100592.0,1.1951994
31392027,62.461792,38.05,100576.99,1.195021
31403170,61.624176,38.05,100587.0,1.19514
31425866,61.373158,38.04,100590.0,1.1951756
31436029,62.044304,38.04,100582.0,1.1950805
31447750,61.624176,38.04,100587.0,1.19514
31470646,62.044304,38.05,100582.0,1.1950805
31481420,61.793285,38.05,100585.0,1.1951162
31491181,61.95975,38.05,100582.99,1.1950923
31512100,62.295326,38.04,100579.0,1.1950449
31523020,61.70873,38.04,100586.0,1.1951281
31533697,61.539623,38.04,100588.0,1.1951518
31557367,61.8752,38.05,100584.0,1.1951044
31569169,61.624176,38.05,100587.0,1.19514
31580296,61.624176,38.05,100587.0,1.19514
31602020,61.8752,38.05,100584.0,1.1951044
31613114,61.291245,38.05,100591.0,1.1951874
31624550,61.95975,38.05,100582.99,1.1950923
31646025,61.624176,38.04,100587.0,1.19514
31657025,61.95975,38.04,100582.99,1.1950923
31669179,61.291245,38.04,100591.0,1.1951874
31691084,61.624176,38.04,100587.0,1.19514
31701103,62.12886,38.04,100581.0,1.1950687
31712866,62.12886,38.04,100581.0,1.1950687
31734504,61.624176,38.04,100587.0,1.19514
31745020,62.044304,38.04,100582.0,1.1950805
31757164,62.044304,38.04,100582.0,1.1950805
31781908,61.206688,38.05,100592.0,1.1951994
31792848,61.70873,38.05,100586.0,1.1951281
31803162,61.373158,38.05,100590.0,1.1951756
31825086,62.295326,38.04,100579.0,1.1950449
31837029,61.373158,38.04,100590.0,1.1951756
31849080,61.70873,38.04,100586.0,1.1951281
31873024,62.12886,38.04,100581.0,1.1950687
31885817,61.70873,38.04,100586.0,1.1951281
31896731,61.70873,38.04,100586.0,1.1951281
31917075,61.8752,38.03,100584.0,1.1951044
31929554,62.044304,38.03,100582.0,1.1950805
31940992,62.12886,38.03,100581.0,1.1950687
31962025,61.70873,38.04,100586.0,1.1951281
31973086,60.95567,38.04,100594.99,1.1952349
31984713,61.624176,38.04,100587.0,1.19514
32006019,62.044304,38.04,100582.0,1.1950805
32017020,62.37988,38.04,100578.0,1.1950331
32031801,61.8752,38.04,100584.0,1.1951044
32053108,61.624176,38.04,100587.0,1.19514
32064790,61.8752,38.04,100584.0,1.1951044
32075151,60.620094,38.04,100599.0,1.1952826
32097217,61.70873,38.03,100586.0,1.1951281
32107164,61.793285,38.03,100585.0,1.1951162
32118018,61.95975,38.03,100582.99,1.1950923
32141859,62.12886,38.04,100581.0,1.1950687
32152798,61.206688,38.04,100592.0,1.1951994
32163080,61.624176,38.04,100587.0,1.19514
32185026,61.624176,38.04,100587.0,1.19514
32197825,61.624176,38.04,100587.0,1.19514
32208816,62.295326,38.04,100579.0,1.1950449
32230034,61.70873,38.04,100586.0,1.1951281
32241018,61.624176,38.04,100587.0,1.19514
32253017,61.793285,38.04,100585.0,1.1951162
32275083,61.70873,38.04,100586.0,1.1951281
32286026,61.45771,38.04,100588.99,1.1951636
32297145,61.373158,38.04,100590.0,1.1951756
32320726,61.539623,38.04,100588.0,1.1951518
32331203,61.95975,38.04,100582.99,1.1950923
32342071,61.8752,38.04,100584.0,1.1951044
32363080,61.291245,38.05,100591.0,1.1951874
32374032,61.793285,38.05,100585.0,1.1951162
32385024,61.206688,38.05,100592.0,1.1951994
32409077,61.624176,38.05,100587.0,1.19514
32422402,61.373158,38.05,100590.0,1.1951756
32433031,61.45771,38.05,100588.99,1.1951636
32456750,61.8752,38.05,100584.0,1.1951044
32466062,61.539623,38.05,100588.0,1.1951518
32477059,62.21077,38.05,100580.0,1.1950568
32498018,61.45771,38.04,100588.99,1.1951636
32509527,62.461792,38.04,100576.99,1.195021
32520033,62.044304,38.04,100582.0,1.1950805
32541143,61.373158,38.05,100590.0,1.1951756
32551510,61.624176,38.05,100587.0,1.19514
32562562,61.95975,38.05,100582.99,1.1950923
32584112,61.70873,38.05,100586.0,1.1951281
32594180,61.793285,38.05,100585.0,1.1951162
32605025,61.70873,38.05,100586.0,1.1951281
32626025,60.95567,38.059998,100594.99,1.1952349
32637068,60.620094,38.059998,100599.0,1.1952826
32648025,61.95975,38.059998,100582.99,1.1950923
32669194,61.624176,38.05,100587.0,1.19514
32679486,61.291245,38.05,100591.0,1.1951874
32690020,60.95567,38.05,100594.99,1.1952349
32711373,61.206688,38.05,100592.0,1.1951994
32721061,61.95975,38.05,100582.99,1.1950923
32732020,61.539623,38.05,100588.0,1.1951518
32753037,61.70873,38.05,100586.0,1.1951281
32764963,60.78656,38.05,100597.0,1.1952587
32774026,61.70873,38.05,100586.0,1.1951281
32797765,60.871117,38.059998,100596.0,1.1952469
32808021,61.206688,38.059998,100592.0,1.1951994
32819020,61.45771,38.059998,100588.99,1.1951636
32841018,61.793285,38.05,100585.0,1.1951162
32852335,61.45771,38.05,100588.99,1.1951636
32863462,61.373158,38.05,100590.0,1.1951756
32885033,61.70873,38.05,100586.0,1.1951281
32896336,61.291245,38.05,100591.0,1.1951874
32907465,61.95975,38.05,100582.99,1.1950923
32929045,61.624176,38.05,100587.0,1.19514
32940250,61.793285,38.05,100585.0,1.1951162
32951358,61.373158,38.05,100590.0,1.1951756
32973026,61.539623,38.05,100588.0,1.1951518
32984022,61.70873,38.05,100586.0,1.1951281
32995609,61.70873,38.05,100586.0,1.1951281
33016178,60.95567,38.05,100594.99,1.1952349
33027662,61.624176,38.05,100587.0,1.19514
33037180,61.793285,38.05,100585.0,1.1951162
33058182,61.45771,38.05,100588.99,1.1951636
33069045,61.539623,38.05,100588.0,1.1951518
33080103,61.624176,38.05,100587.0,1.19514
33101117,61.95975,38.059998,100582.99,1.1950923
33112071,60.78656,38.059998,100597.0,1.1952587
33122062,61.624176,38.059998,100587.0,1.19514
33143411,61.45771,38.05,100588.99,1.1951636
33154022,61.793285,38.05,100585.0,1.1951162
33164231,61.793285,38.05,100585.0,1.1951162
33185106,61.291245,38.05,100591.0,1.1951874
33197792,61.206688,38.05,100592.0,1.1951994
33208023,61.793285,38.05,100585.0,1.1951162
33230058,61.45771,38.05,100588.99,1.1951636
