timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
48244375,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.0,0.0,-0.19093,0.0,0.0,0.0,0.0,0.0,0.0,0.0049336883,-0.0009950314,-0.54650843
48264719,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.0014697149,-9.022193e-05,-0.39363,0.0,0.0,0.0,0.0,0.0,0.0,0.0063188914,0.002850955,-0.58729565
48364702,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.006782302,0.00060897035,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.001680922,-0.003578274,-0.6574235
48465345,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.011241248,0.0033733926,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.003653989,0.0019396571,-0.65813553
48564890,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.014494519,0.0074858093,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0035475474,0.0043664807,-0.6554271
48664952,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.017079607,0.0130496705,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0008442834,0.0024348034,-0.65262336
48765167,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.018594282,0.018644895,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0085448865,0.008652322,-0.649934
48865523,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.019249879,0.024541896,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0081678955,0.011245398,-0.6460612
48965170,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.01921034,0.030278085,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0038303065,0.0068394984,-0.64670485
49065381,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.018913446,0.035942636,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0031217278,0.0069672046,-0.645277
49165506,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.018153531,0.04086713,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0031714328,0.009539508,-0.6477397
49265559,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.01727949,0.045782622,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0006364952,0.007930282,-0.6500255
49365663,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.016640881,0.0500297,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.00449156,0.013006956,-0.65007627
49465695,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.015525551,0.054026738,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.004031345,0.011813567,-0.6539304
49565728,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.014530688,0.057738,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0009117993,0.012211793,-0.6576078
49685850,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.013259399,0.062122896,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0033107297,0.015441368,-0.6566133
49786503,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.012158805,0.06662779,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.00041154976,0.011793689,-0.65776914
49886165,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.010942017,0.070630275,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0007133987,0.016723977,-0.65963435
49986554,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.009725129,0.075835995,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0007841438,0.01321768,-0.6589973
50087939,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.008523107,0.080580585,-0.7028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0019598836,0.01649174,-0.6618939
50186580,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.00770947,0.08525337,-0.6972207,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019677621,0.012951698,-0.66229063
50287982,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.0070998096,0.09047515,-0.6948401,0.0,0.0,0.0,0.0,0.0,0.0,5.22309e-05,0.016474023,-0.6611438
50386754,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.0068990053,0.09542176,-0.6784027,0.0,0.0,0.0,0.0,0.0,0.0,0.0024378905,0.014691498,-0.66095287
50487628,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.0069479146,0.10005629,-0.3925507,0.0,0.0,0.0,0.0,0.0,0.0,0.0022882593,0.01717696,-0.60775685
50586732,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.0070160334,0.10374827,-0.4072011,0.0,0.0,0.0,0.0,0.0,0.0,0.003049782,0.020434426,-0.6173738
50687572,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.00690396,0.107090995,-0.40564746,0.0,0.0,0.0,0.0,0.0,0.0,0.0023037784,0.017856214,-0.6287995
50787167,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.0061319284,0.108975284,-0.40562284,0.0,0.0,0.0,0.0,0.0,0.0,-5.9151906e-05,0.015871678,-0.6402723
50887339,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.0043687006,0.10977186,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,0.0013183318,0.014425538,-0.6489232
50987500,-0.15151285,-0.0033845431,nan,0.06775801,0.0,0.0017369963,0.107593305,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.005040581,0.011882521,-0.6556029
51087306,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.0025073998,0.10297291,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061727352,0.008489258,-0.65797704
51207449,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.008861451,0.093803205,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012202624,0.0061217668,-0.66176486
51307517,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.014871397,0.083919704,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.008795612,0.0015955083,-0.660987
51407617,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.022031993,0.070437916,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.01025244,-0.0032286318,-0.6610239
51507789,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.029020868,0.05606235,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.004191874,-0.0031888639,-0.65795624
51607922,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.03632444,0.039585203,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034261192,-0.0029916517,-0.65747935
51708215,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.041894052,0.024759984,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.01040426,-0.0054829316,-0.6564824
51808860,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.04669489,0.010458468,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.012964792,-0.009364594,-0.6573782
51908402,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.049475912,-0.00065992365,-0.40562242,0.0,0.0,0.0,0.0,0.0,0.0,-0.005039568,-0.003881652,-0.6567225
52008971,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.050831832,-0.009753498,-0.40230405,0.0,0.0,0.0,0.0,0.0,0.0,-0.004284908,-0.0040247003,-0.65921587
52108396,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.050601088,-0.016270114,-0.11543202,0.0,0.0,0.0,0.0,0.0,0.0,-0.006360299,-0.0038830284,-0.6037388
52208420,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.04936265,-0.020294104,-0.13321526,0.0,0.0,0.0,0.0,0.0,0.0,-0.00477287,-0.00219231,-0.61105216
52329202,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.047531698,-0.02255762,-0.1325322,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034488963,-0.003904541,-0.6219903
52428811,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.046090174,-0.022966731,-0.1325306,0.0,0.0,0.0,0.0,0.0,0.0,-0.0063288277,0.00074280193,-0.6261977
52528873,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.044963762,-0.022722872,-0.13253021,0.0,0.0,0.0,0.0,0.0,0.0,-0.00544927,-0.0019942713,-0.62886
52628985,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.044206712,-0.022904163,-0.13253021,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073531717,0.00058160326,-0.63045037
52729196,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.044825654,-0.02473935,-0.1341892,0.0,0.0,0.0,0.0,0.0,0.0,-0.009393143,-0.0016853015,-0.6277193
52829065,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.046953365,-0.028347215,-0.1479682,0.0,0.0,0.0,0.0,0.0,0.0,-0.007742881,-0.004854723,-0.62644225
52929414,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.050850924,-0.03409269,-0.40362924,0.0,0.0,0.0,0.0,0.0,0.0,-0.012252378,-0.0052387016,-0.6699897
53029643,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.055406492,-0.040475402,-0.42008016,0.0,0.0,0.0,0.0,0.0,0.0,-0.01148975,-9.495579e-05,-0.66118014
53129522,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.059414055,-0.045908786,-0.42167276,0.0,0.0,0.0,0.0,0.0,0.0,-0.012104759,-0.0043474804,-0.64971614
53230631,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.062869534,-0.04931248,-0.42168787,0.0,0.0,0.0,0.0,0.0,0.0,-0.014056411,-0.00095141353,-0.63678503
53329679,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.06505413,-0.04974115,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.004260731,0.0028267854,-0.6281773
53429850,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.06655687,-0.04722487,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.0076680095,0.004183589,-0.6244872
53549877,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.067258224,-0.040982366,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.00765826,0.007929611,-0.62400043
53649828,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.067288704,-0.033792853,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.010525762,0.00875965,-0.6241592
53749868,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.0670183,-0.024999373,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.008271797,0.010643782,-0.626081
53850060,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.06676334,-0.016463574,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.010103752,0.007917027,-0.6302825
53950151,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.066861525,-0.0073169684,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.01136833,0.008230994,-0.63319206
54050628,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.0679872,-0.00015810884,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.012252741,0.013391905,-0.6373807
54150711,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.07039263,0.006229129,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.011476899,0.013017658,-0.6400327
54250690,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.07361415,0.010330413,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.014512969,0.0076342626,-0.64492667
54350712,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.077900045,0.013446691,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.018739495,0.005683904,-0.64785254
54450763,-0.15151285,-0.0033845431,nan,0.06775801,0.0,-0.081826665,0.014869693,-0.42168665,0.0,0.0,0.0,0.0,0.0,0.0,-0.008524206,0.009162727,-0.64891016
