timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
51367955,51367004,80000.0,1.0,13.088608,25.6245,0.0,1,240,18,4,0,2,0,0,1,1,43
51847472,0,1200.0,0.25786987,0.0,0.4195373,0.0,0,0,0,0,0,0,0,1,0,1,36
52022722,52022423,80000.0,1.0,13.165614,25.460085,0.0,255,0,6,4,0,2,0,0,1,1,43
52363669,52363558,80000.0,1.0,13.165614,25.460085,0.0,1,240,18,4,0,2,0,0,1,1,43
52855301,0,1200.0,0.25786987,0.0,0.44822147,0.0,0,0,0,0,0,0,0,1,0,1,36
53026362,53024064,80000.0,1.0,13.128639,25.591057,0.0,255,0,6,4,0,2,0,0,1,1,43
53365946,53364567,80000.0,1.0,13.128639,25.591057,0.0,1,240,18,4,0,2,0,0,1,1,43
53855419,0,1200.0,0.25786987,0.0,0.6018336,0.0,0,0,0,0,0,0,0,1,0,1,36
54025483,54023553,80000.0,1.0,13.108855,25.580717,0.0,255,0,6,4,0,2,0,0,1,1,43
54365587,54364214,80000.0,1.0,13.108855,25.580717,0.0,1,240,18,4,0,2,0,0,1,1,43
54860933,0,1200.0,0.25786987,0.0,0.38624564,0.0,0,0,0,0,0,0,0,1,0,1,36
55024184,55024141,80000.0,1.0,13.105819,25.662613,0.0,255,0,6,4,0,2,0,0,1,1,43
55364996,55363507,80000.0,1.0,13.105819,25.662613,0.0,1,240,18,4,0,2,0,0,1,1,43
55867435,0,1200.0,0.25786987,0.0,0.55926913,0.0,0,0,0,0,0,0,0,1,0,1,36
56025975,56022864,80000.0,1.0,13.133506,25.574196,0.0,255,0,6,4,0,2,0,0,1,1,43
56368405,56367438,80000.0,1.0,13.133506,25.574196,0.0,1,240,18,4,0,2,0,0,1,1,43
56873397,0,1200.0,0.25786987,0.0,0.462199,0.0,0,0,0,0,0,0,0,1,0,1,36
57026585,57024192,80000.0,1.0,13.122186,25.773344,0.0,255,0,6,4,0,2,0,0,1,1,43
57370663,57369606,80000.0,1.0,13.122186,25.773344,0.0,1,240,18,4,0,2,0,0,1,1,43
57878362,0,1200.0,0.25786987,0.0,0.58250594,0.0,0,0,0,0,0,0,0,1,0,1,36
58025515,58024043,80000.0,1.0,13.078391,25.436733,0.0,255,0,6,4,0,2,0,0,1,1,43
58366385,58364699,80000.0,1.0,13.078391,25.436733,0.0,1,240,18,4,0,2,0,0,1,1,43
58879623,0,1200.0,0.25786987,0.0,0.29828766,0.0,0,0,0,0,0,0,0,1,0,1,36
59025227,59023194,80000.0,1.0,13.147953,25.572285,0.0,255,0,6,4,0,2,0,0,1,1,43
59366179,59364774,80000.0,1.0,13.147953,25.572285,0.0,1,240,18,4,0,2,0,0,1,1,43
59887940,0,1200.0,0.25786987,0.0,0.37786987,0.0,0,0,0,0,0,0,0,1,0,1,36
60026634,60023599,80000.0,1.0,13.132857,25.590572,0.0,255,0,6,4,0,2,0,0,1,1,43
60369054,60368268,80000.0,1.0,13.132857,25.590572,0.0,1,240,18,4,0,2,0,0,1,1,43
60888835,0,1200.0,0.25786987,0.0,0.5918988,0.0,0,0,0,0,0,0,0,1,0,1,36
61027604,61025876,80000.0,1.0,13.063122,25.64294,0.0,255,0,6,4,0,2,0,0,1,1,43
61371528,61369754,80000.0,1.0,13.063122,25.64294,0.0,1,240,18,4,0,2,0,0,1,1,43
61891624,0,1200.0,0.25786987,0.0,0.45597136,0.0,0,0,0,0,0,0,0,1,0,1,36
62023006,62022819,80000.0,1.0,13.072658,25.54997,0.0,255,0,6,4,0,2,0,0,1,1,43
62367376,62367123,80000.0,1.0,13.072658,25.54997,0.0,1,240,18,4,0,2,0,0,1,1,43
62894302,0,1200.0,0.25786987,0.0,0.41240817,0.0,0,0,0,0,0,0,0,1,0,1,36
63030255,63022258,80000.0,1.0,13.186201,25.490532,0.0,255,0,6,4,0,2,0,0,1,1,43
63366210,63364297,80000.0,1.0,13.186201,25.490532,0.0,1,240,18,4,0,2,0,0,1,1,43
63902445,0,1200.0,0.25786987,0.0,0.470605,0.0,0,0,0,0,0,0,0,1,0,1,36
64028179,64026061,80000.0,1.0,13.095385,25.552555,0.0,255,0,6,4,0,2,0,0,1,1,43
64371516,64364045,80000.0,1.0,13.095385,25.552555,0.0,1,240,18,4,0,2,0,0,1,1,43
64912462,0,1200.0,0.25786987,0.0,0.5807626,0.0,0,0,0,0,0,0,0,1,0,1,36
