timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
30912719,-0.0015901413,-0.0009884012,0.0005906078,0.99918777,-0.0027015107,0.013792916,0.037766907,0.73061,0.017254911,0.004089347,-0.6825646,3
30944670,0.0023514314,-0.0013637785,-0.0012618334,0.9991883,-0.002689194,0.013796432,0.037753265,0.73061,0.017254911,0.004089347,-0.6825646,3
30976670,-0.0026502986,0.0017153247,-0.0010603366,0.99918884,-0.0026916785,0.013791649,0.037739053,0.73061,0.017254911,0.004089347,-0.6825646,3
31008690,-0.00040621893,-0.0005707606,0.00037391455,0.9991891,-0.002686829,0.013805501,0.037726983,0.73061,0.017254911,0.004089347,-0.6825646,3
31040691,-9.954907e-05,-0.00021164888,-0.0015169465,0.9991895,-0.0026920266,0.013815815,0.03771439,0.73061,0.017254911,0.004089347,-0.6825646,3
31072687,5.0731236e-05,-0.0013632565,0.0003284649,0.99918944,-0.002688591,0.013817966,0.03771556,0.73061,0.017254911,0.004089347,-0.6825646,3
31100750,-0.00073483726,0.0012787611,-3.7651043e-06,0.9991888,-0.0026824316,0.013825297,0.037729096,0.73061,0.017254911,0.004089347,-0.6825646,3
31132669,0.0011653823,-0.0005497576,-0.000691911,0.9991894,-0.002677601,0.013808447,0.037722036,0.73061,0.017254911,0.004089347,-0.6825646,3
31164676,0.0006425439,-0.00020968239,-0.0015294082,0.9991895,-0.0026695323,0.013808276,0.037716053,0.73061,0.017254911,0.004089347,-0.6825646,3
31196669,-0.00019226805,-0.0014171605,0.00035288942,0.99918985,-0.002659059,0.01381129,0.037708078,0.73061,0.017254911,0.004089347,-0.6825646,3
31228681,-0.012159253,-0.005962972,-0.015230254,0.9991916,-0.0026597923,0.013810337,0.0376616,0.73061,0.017254911,0.004089347,-0.6825646,3
31260669,0.030469753,-0.0023344315,-0.0026538703,0.99920225,-0.0025529026,0.013824918,0.037380055,0.73061,0.017254911,0.004089347,-0.6825646,3
31292703,0.01618947,0.01684679,0.0064928737,0.9992033,-0.002704392,0.013815906,0.037344646,0.73061,0.017254911,0.004089347,-0.6825646,3
31324720,-0.05369027,-0.06988433,0.04220631,0.999188,-0.0026814681,0.013784541,0.0377643,0.73061,0.017254911,0.004089347,-0.6825646,3
31356679,0.07516552,-0.068879806,0.03783087,0.9991661,-0.002540894,0.013821687,0.038337883,0.73061,0.017254911,0.004089347,-0.6825646,3
31388670,0.013095217,0.054225456,0.010827197,0.99915224,-0.0026113205,0.013958112,0.0386425,0.73061,0.017254911,0.004089347,-0.6825646,3
31420676,0.0029651965,0.0060013263,-0.008673852,0.9991476,-0.0027293463,0.013870516,0.03878602,0.73061,0.017254911,0.004089347,-0.6825646,3
31452671,-0.0028694228,-0.018424254,-0.018396398,0.9991591,-0.002634242,0.013835308,0.038507085,0.73061,0.017254911,0.004089347,-0.6825646,3
31484679,0.000116836396,-0.005149736,-0.03911763,0.9991801,-0.0025717919,0.0138666155,0.037951134,0.73061,0.017254911,0.004089347,-0.6825646,3
31516670,-0.015649114,-0.016920555,-0.033725005,0.9992011,-0.0026908708,0.0139195975,0.0373674,0.73061,0.017254911,0.004089347,-0.6825646,3
31547891,0.017025208,-0.008311155,-0.016083498,0.9992157,-0.0026048685,0.013963991,0.03696219,0.73061,0.017254911,0.004089347,-0.6825646,3
31579112,-0.0020815,-0.010449997,0.017382365,0.9992158,-0.002570638,0.013990334,0.0369532,0.73061,0.017254911,0.004089347,-0.6825646,3
31607920,-0.013972348,-0.0069782636,0.028028708,0.99920195,-0.0026331055,0.013977043,0.037325785,0.73061,0.017254911,0.004089347,-0.6825646,3
31642301,0.007788843,-0.0031489045,0.023548193,0.9991854,-0.0026077072,0.01399488,0.037761807,0.73061,0.017254911,0.004089347,-0.6825646,3
31671887,0.02139861,-0.008898631,0.008316139,0.9991786,-0.0024196466,0.013981843,0.037957825,0.73061,0.017254911,0.004089347,-0.6825646,3
31703876,-0.005835918,-0.0069683236,-0.0041913036,0.9991781,-0.0025464178,0.013955289,0.037972733,0.73061,0.017254911,0.004089347,-0.6825646,3
31735870,0.014084447,-0.009611546,-0.022791,0.9991864,-0.0025881203,0.013937187,0.037759498,0.73061,0.017254911,0.004089347,-0.6825646,3
31767873,0.013344796,0.015064398,-0.024580333,0.9992045,-0.0024669326,0.013970204,0.037270136,0.73061,0.017254911,0.004089347,-0.6825646,3
31799870,-0.071945705,-0.029706601,0.014882222,0.9992143,-0.0026353062,0.013832139,0.037049714,0.73061,0.017254911,0.004089347,-0.6825646,3
31831876,0.01803975,-0.0020284466,0.03925479,0.9991948,-0.0024511442,0.013819962,0.0375882,0.73061,0.017254911,0.004089347,-0.6825646,3
31863885,-0.0014904535,0.03049267,0.029138466,0.9991718,-0.0020476228,0.013759848,0.038241066,0.73061,0.017254911,0.004089347,-0.6825646,3
