timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
30816755,30816670,-0.40939558,0.38888913,-0.003023772,0.08,0.0,0.0,0.0,-1.0
30916742,30916670,-0.40973088,0.38949308,-0.0028145113,0.08,0.0,0.0,0.0,-1.0
31016775,31016698,-0.4140134,0.38561642,-0.002815304,0.08,0.0,0.0,0.0,-1.0
31120826,31120745,-0.0070255618,0.038141053,-1.7565855e-05,0.08,0.0,0.0,0.0,-1.0
31220741,31220670,0.002594737,-0.027693383,-0.00027476062,0.08,0.0,0.0,0.0,-1.0
31320742,31320670,-0.0077280365,-0.03464124,-0.007031048,0.08,0.0,0.0,0.0,-1.0
31424773,31424680,-0.0022755575,-0.038363155,0.0012434912,0.08,0.0,0.0,0.0,-1.0
31524770,31524679,0.0015779147,-0.028473552,0.006747792,0.08,0.0,0.0,0.0,-1.0
31626395,31626275,0.0047157533,-0.029174512,-0.0052671684,0.08,0.0,0.0,0.0,-1.0
31727971,31727870,0.0010996159,-0.022925299,0.002449555,0.08,0.0,0.0,0.0,-1.0
31831973,31831876,0.007521973,-0.016855096,-0.008783848,0.08,0.0,0.0,0.0,-1.0
31931959,31931870,0.004393861,-0.02249284,0.010473332,0.08,0.0,0.0,0.0,-1.0
32032000,32031869,0.010227035,-0.030035451,-0.00058436184,0.08,0.0,0.0,0.0,-1.0
32136026,32135877,0.023604129,-0.023045482,-0.007849841,0.08,0.0,0.0,0.0,-1.0
32235942,32235870,0.014077122,-0.02488934,0.008898272,0.08,0.0,0.0,0.0,-1.0
32335942,32335870,0.0026884573,-0.026962671,-0.003976424,0.08,0.0,0.0,0.0,-1.0
32439964,32439892,0.0017806346,-0.023113612,7.659445e-05,0.08,0.0,0.0,0.0,-1.0
32539209,32539070,0.0052348403,-0.038924653,-0.00057210954,0.08,0.0,0.0,0.0,-1.0
32643183,32643070,-0.0024006318,-0.024479588,-0.00059211464,0.08,0.0,0.0,0.0,-1.0
32743170,32743095,-0.01175839,-0.038661376,-0.0009791119,0.08,0.0,0.0,0.0,-1.0
32847167,32847069,-0.0019423859,-0.060535777,0.00056968094,0.08,0.0,0.0,0.0,-1.0
32947207,32947073,0.011211543,-0.030028425,-0.0007984945,0.08,0.0,0.0,0.0,-1.0
33047189,33047096,0.010187974,-0.027582457,0.0011299696,0.08,0.0,0.0,0.0,-1.0
33151145,33151070,-0.012868061,-0.017468372,-0.0011759769,0.08,0.0,0.0,0.0,-1.0
33251159,33251076,-0.0015618441,-0.01393078,0.0004582908,0.09741412,0.0,0.0,0.0,-1.0
33351171,33351076,0.016003365,-0.02437041,0.0014826347,0.09617727,0.0,0.0,0.0,-1.0
33454361,33454269,-0.0046177683,-0.007829808,-0.00077837915,0.09619213,0.0,0.0,0.0,-1.0
33554353,33554273,0.015871676,-0.04667541,0.0005042731,0.09724837,0.0,0.0,0.0,-1.0
33658390,33658301,-0.0320427,-0.03707813,0.0009473446,0.10208379,0.0,0.0,0.0,-1.0
33862395,33862294,0.024473816,-0.025923714,0.001688289,0.12960404,0.0,0.0,0.0,-1.0
33962382,33962282,-0.012777831,-0.030887011,0.0030227548,0.12959051,0.0,0.0,0.0,-1.0
34062401,34062310,-0.0014127556,-0.043249045,0.0022480718,0.12959035,0.0,0.0,0.0,-1.0
34166404,34166271,-0.0011033559,-0.044280145,0.0023921847,0.12959036,0.0,0.0,0.0,-1.0
34266389,34266269,0.010958173,-0.011265522,0.0018638145,0.12959036,0.0,0.0,0.0,-1.0
34366412,34366290,0.0043347375,-0.031890497,0.003176913,0.14217027,0.0,0.0,0.0,-1.0
34470358,34470271,0.031022152,-0.061951574,0.0017305111,0.15924075,0.0,0.0,0.0,-1.0
34569561,34569470,0.011365987,-0.044313937,-0.0003326269,0.1589489,0.0,0.0,0.0,-1.0
