timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
30816863,-0.00055918004,-0.000115770614,0.0010037828,0.0,0.0,0.0,0.0
30912898,-0.0013798368,-0.00031652045,-0.00016351152,0.0,0.0,0.0,0.0
30944851,0.0009957268,0.00037402695,9.852328e-05,0.0,0.0,0.0,0.0
30976890,-0.0006177763,-0.00027192687,-0.0003891689,0.0,0.0,0.0,0.0
31008885,0.00020346954,0.0011746722,-0.00033505482,0.0,0.0,0.0,0.0
31040870,-0.00069254404,0.00043105567,-0.0012007256,0.0,0.0,0.0,0.0
31072856,-0.00034183473,-0.00029144972,0.00040762062,0.0,0.0,0.0,0.0
31100892,9.767013e-05,-0.0003637278,0.0008376629,0.0,0.0,0.0,0.0
31132898,0.00044478208,-0.0013966474,-0.00032911246,0.0,0.0,0.0,0.0
31164859,0.00011190935,-6.383029e-05,-0.00039951538,0.0,0.0,0.0,0.0
31196832,0.001072757,0.0004444942,-0.0005863785,0.0,0.0,0.0,0.0
31228929,0.0032931557,-0.00041835057,-0.0055432734,0.0,0.0,0.0,0.0
31260883,0.007054811,0.007416807,-0.011522403,0.0,0.0,0.0,0.0
31292977,-0.010636242,-0.0013475609,-0.002898064,0.0,0.0,0.0,0.0
31324868,0.015204327,0.008199459,0.03734253,0.0,0.0,0.0,0.0
31356861,-0.0014885264,0.009457655,0.03420319,0.0,0.0,0.0,0.0
31388839,-0.0010923748,0.0050016763,0.015765404,0.0,0.0,0.0,0.0
31420815,-0.0076605375,-0.005463239,-0.00011018329,0.0,0.0,0.0,0.0
31452852,0.009766062,-0.009152378,-0.017032119,0.0,0.0,0.0,0.0
31484821,0.0005072295,0.0019822298,-0.039244942,0.0,0.0,0.0,0.0
31516865,-0.0061418638,0.00024534645,-0.033969183,0.0,0.0,0.0,0.0
31548102,0.0062283175,0.0048627853,-0.019482844,0.0,0.0,0.0,0.0
31579277,-0.00036211847,-0.0034727794,0.009685431,0.0,0.0,0.0,0.0
31608133,-0.0030905947,-0.0007533529,0.028559826,0.0,0.0,0.0,0.0
31642481,0.007290826,0.00072224496,0.026365992,0.0,0.0,0.0,0.0
31672073,0.010781497,-0.0036304917,0.011668196,0.0,0.0,0.0,0.0
31704135,-0.011584125,-0.0021388025,-0.0003984548,0.0,0.0,0.0,0.0
31736056,0.007467485,-0.0007320652,-0.017644545,0.0,0.0,0.0,0.0
