timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
30797971,30797971,18,40,0,0,0,1094,1934,1094,1937,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
31018318,31018318,18,40,0,0,0,1151,1857,1094,1780,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
31222015,31222015,18,40,0,0,0,1514,1514,1094,1519,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
31421965,31421965,18,40,0,0,0,1514,1514,1094,1519,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
31623638,31623638,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
31821407,31821407,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32021599,32021599,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32221348,32221348,18,40,0,0,0,1514,1514,1094,1518,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32421236,32421236,18,40,0,0,0,1514,1514,1094,1518,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32640568,32640568,18,40,0,0,0,1514,1514,1094,1518,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32828561,32828561,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
33040372,33040372,18,40,0,0,0,1514,1514,1094,1517,1094,1094,1934,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
