timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
45266140,inf,1,0,0,0,0
46277237,inf,1,0,0,0,0
47147400,inf,0,0,1,0,0
48159069,inf,0,0,1,0,0
49170300,inf,0,0,1,0,0
50179079,inf,0,0,1,0,0
51187142,inf,0,0,1,0,0
52197178,inf,0,0,1,0,0
53212330,inf,0,0,1,0,0
54216165,inf,0,0,1,0,0
55226073,inf,0,0,1,0,0
56228179,inf,0,0,1,0,0
57238067,inf,0,0,1,0,0
58244059,inf,0,0,1,0,0
59258804,inf,0,0,1,0,0
60271104,inf,0,0,1,0,0
61279058,inf,0,0,1,0,0
62289134,inf,0,0,1,0,0
63299116,inf,0,0,1,0,0
64309192,inf,0,0,1,0,0
65321233,inf,0,0,1,0,0
66331100,inf,0,0,1,0,0
67340057,inf,0,0,1,0,0
68345296,inf,0,0,1,0,0
69354060,inf,0,0,1,0,0
69606178,inf,0,0,0,0,0
70612394,inf,0,0,0,0,0
71625108,inf,0,0,0,0,0
72637377,inf,0,0,0,0,0
73644193,inf,0,0,0,0,0
75668879,inf,0,0,0,0,0
76673192,inf,0,0,0,0,0
77684057,inf,0,0,0,0,0
78695092,inf,0,0,0,0,0
79700055,inf,0,0,0,0,0
80710165,inf,0,0,0,0,0
81719110,inf,0,0,0,0,0
82729209,inf,0,0,0,0,0
83744177,inf,0,0,0,0,0
84752190,inf,0,0,0,0,0
85763067,inf,0,0,0,0,0
86774056,inf,0,0,0,0,0
87784061,inf,0,0,0,0,0
88792017,inf,0,0,0,0,0
89806790,inf,0,0,0,0,0
90821385,inf,0,0,0,0,0
91831122,inf,0,0,0,0,0
92841441,inf,0,0,0,0,0
93852532,inf,0,0,0,0,0
94862074,inf,0,0,0,0,0
95872070,inf,0,0,0,0,0
96885395,inf,0,0,0,0,0
97894060,inf,0,0,0,0,0
98898019,inf,0,0,0,0,0
99903063,inf,0,0,0,0,0
100914059,inf,0,0,0,0,0
101927265,inf,0,0,0,0,0
102938064,inf,0,0,0,0,0
103950777,inf,0,0,0,0,0
104965196,inf,0,0,0,0,0
105975099,inf,0,0,0,0,0
106984193,inf,0,0,0,0,0
107989181,inf,0,0,0,0,0
109001416,inf,0,0,0,0,0
110007064,inf,0,0,0,0,0
111014116,inf,0,0,0,0,0
112024667,inf,0,0,0,0,0
113031906,inf,0,0,0,0,0
114042985,inf,0,0,0,0,0
115057375,inf,0,0,0,0,0
116066430,inf,0,0,0,0,0
117071115,inf,0,0,0,0,0
118081150,inf,0,0,0,0,0
119089240,inf,0,0,0,0,0
120108066,inf,0,0,0,0,0
121109575,inf,0,0,0,0,0
122120060,inf,0,0,0,0,0
123127059,inf,0,0,0,0,0
124139094,inf,0,0,0,0,0
125153154,inf,0,0,0,0,0
126164434,inf,0,0,0,0,0
128189460,inf,0,0,0,0,0
129200160,inf,0,0,0,0,0
130208435,inf,0,0,0,0,0
131216061,inf,0,0,0,0,0
132222617,inf,0,0,0,0,0
133235239,inf,0,0,0,0,0
134244214,inf,0,0,0,0,0
135252212,inf,0,0,0,0,0
136263064,inf,0,0,0,0,0
137268838,inf,0,0,0,0,0
138275161,inf,0,0,0,0,0
139288061,inf,0,0,0,0,0
140293601,inf,0,0,0,0,0
141300059,inf,0,0,0,0,0
142309651,inf,0,0,0,0,0
143322118,inf,0,0,0,0,0
144333155,inf,0,0,0,0,0
145346904,inf,0,0,0,0,0
146357407,inf,0,0,0,0,0
147361489,inf,0,0,0,0,0
148370716,inf,0,0,0,0,0
149382059,inf,0,0,0,0,0
150392668,inf,0,0,0,0,0
151406612,inf,0,0,0,0,0
152421371,inf,0,0,0,0,0
153428181,inf,0,0,0,0,0
154436217,inf,0,0,0,0,0
155446215,inf,0,0,0,0,0
156453136,inf,0,0,0,0,0
157468366,inf,0,0,0,0,0
158481607,inf,0,0,0,0,0
159485422,inf,0,0,0,0,0
160492205,inf,0,0,0,0,0
161499067,inf,0,0,0,0,0
162506146,inf,0,0,0,0,0
163518964,inf,0,0,0,0,0
164532061,inf,0,0,0,0,0
165538306,inf,0,0,0,0,0
166482070,inf,0,0,1,0,0
166503063,inf,0,0,0,0,0
166921333,inf,0,0,1,0,0
167216539,inf,0,0,0,1,0
167552850,inf,1,0,0,0,0
168556205,inf,1,0,0,0,0
