timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
162604600,inf,1,0,0,0,0
163613105,inf,1,0,0,0,0
164624160,inf,1,0,0,0,0
165642243,inf,1,0,0,0,0
166297064,inf,0,0,1,0,0
167307166,inf,0,0,1,0,0
167413296,inf,0,0,0,0,0
168421165,inf,0,0,0,0,0
169434098,inf,0,0,0,0,0
170443666,inf,0,0,0,0,0
171452204,inf,0,0,0,0,0
172463056,inf,0,0,0,0,0
173471167,inf,0,0,0,0,0
174480288,inf,0,0,0,0,0
175490169,inf,0,0,0,0,0
176495451,inf,0,0,0,0,0
177506653,inf,0,0,0,0,0
178515319,inf,0,0,0,0,0
179532504,inf,0,0,0,0,0
180544427,inf,0,0,0,0,0
181559159,inf,0,0,0,0,0
182569104,inf,0,0,0,0,0
183577059,inf,0,0,0,0,0
184591069,inf,0,0,0,0,0
185606035,inf,0,0,0,0,0
