timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
24097876,inf,1,0,0,0,0
25117178,inf,1,0,0,0,0
26128403,inf,1,0,0,0,0
27135056,inf,1,0,0,0,0
29156168,inf,1,0,0,0,0
30167370,inf,1,0,0,0,0
31178116,inf,1,0,0,0,0
32189290,inf,1,0,0,0,0
33200467,inf,1,0,0,0,0
34211068,inf,1,0,0,0,0
35221097,inf,1,0,0,0,0
36227182,inf,1,0,0,0,0
37237122,inf,1,0,0,0,0
38247057,inf,1,0,0,0,0
39262097,inf,1,0,0,0,0
40271185,inf,1,0,0,0,0
41280616,inf,1,0,0,0,0
42291439,inf,1,0,0,0,0
43306543,inf,1,0,0,0,0
44317097,inf,1,0,0,0,0
45326077,inf,1,0,0,0,0
46339056,inf,1,0,0,0,0
47348299,inf,1,0,0,0,0
48353059,inf,1,0,0,0,0
49361187,inf,1,0,0,0,0
51384146,inf,1,0,0,0,0
52404145,inf,1,0,0,0,0
53420523,inf,1,0,0,0,0
54432573,inf,1,0,0,0,0
55444630,inf,1,0,0,0,0
56453057,inf,1,0,0,0,0
57460656,inf,1,0,0,0,0
58471064,inf,1,0,0,0,0
59483323,inf,1,0,0,0,0
60497239,inf,1,0,0,0,0
61506063,inf,1,0,0,0,0
62511373,inf,1,0,0,0,0
63525101,inf,1,0,0,0,0
64533160,inf,1,0,0,0,0
65551232,inf,1,0,0,0,0
66567224,inf,1,0,0,0,0
67575176,inf,1,0,0,0,0
68017148,inf,0,0,1,0,0
69028177,inf,0,0,1,0,0
69452572,inf,0,0,0,0,0
70464212,inf,0,0,0,0,0
71472209,inf,0,0,0,0,0
72482818,inf,0,0,0,0,0
73491063,inf,0,0,0,0,0
74497843,inf,0,0,0,0,0
75510056,inf,0,0,0,0,0
