timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
30358470,0.025742175,0.011273912,0.016156893,0.99947447,0.0004763137,-0.0013352823,0.015006665,0.12653278,0.6825896,-0.034502856,-3.1102086e-06,1.0994497e-06,9.354409e-06,0.00040057363,0.000753704,-0.00036328193,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,8.5384096e-11,9.135477e-06,0.0009583375,3.5965604e-06,7.4218304e-05,7.366218e-05,2.131608e-06,0.00038339346,0.00038341494,0.00033188993,1.811906e-05,1.81197e-05,1.6842689e-05,1.1598255e-11,1.1594002e-11,1.5396753e-11,1.7746871e-06,1.7564291e-06,5.0003578e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.0060198638,0.0041039847,0.011938361,0.0,0.003878,0.04105345,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
30558476,0.025777936,0.011376781,0.016256565,0.9994708,0.0009050263,-0.0005220114,0.013338615,0.1266578,0.6827009,-0.034910746,-3.0850906e-06,1.1073365e-06,9.402611e-06,0.00041662468,0.00077446393,-0.00036365603,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,7.430813e-11,9.294007e-06,0.0007045135,3.5861108e-06,7.4188254e-05,7.361836e-05,2.1305216e-06,0.00034354904,0.0003435595,0.0003008986,1.4397989e-05,1.4398268e-05,1.35708815e-05,1.1491155e-11,1.1486666e-11,1.5219864e-11,1.7741185e-06,1.755455e-06,5.0004147e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.0053662146,0.0036838676,0.011704149,0.0,0.00325721,0.04028999,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
30758516,0.025795095,0.011500761,0.016377876,0.9994669,-0.00012361044,-0.00019576622,0.013383935,0.12666439,0.68282175,-0.035106316,-3.0695503e-06,1.1180774e-06,9.451823e-06,0.0004317787,0.0007943564,-0.0003639868,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,3.7805747e-10,1.9792806e-05,0.0006505465,3.5570622e-06,7.4180156e-05,7.3596646e-05,2.1296423e-06,0.00032999602,0.00033000208,0.00029033158,1.25308425e-05,1.2530986e-05,1.1846854e-05,1.1405122e-11,1.14004075e-11,1.5025385e-11,1.7735532e-06,1.754483e-06,5.0004804e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.005006179,0.0034419259,0.010014536,0.0,0.0012375427,0.03811168,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
30966470,0.025703222,0.011642709,0.016354635,0.9994681,-0.00047750853,-0.00013975511,0.014163694,0.1265897,0.6828551,-0.034729984,-3.064634e-06,1.1194272e-06,9.483047e-06,0.00044570747,0.00081324036,-0.00036432475,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,1.0627841e-08,0.00012991167,0.0018588117,3.5565251e-06,7.418432e-05,7.358685e-05,2.128632e-06,0.00035256188,0.00035256453,0.00030805427,1.4471804e-05,1.4471913e-05,1.3558359e-05,1.1342417e-11,1.1337533e-11,1.4869689e-11,1.773056e-06,1.7535592e-06,5.000546e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.0053799367,0.0036821677,0.019806204,0.0,0.00075324246,0.04107203,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
31165677,0.025545247,0.011604948,0.016419368,0.9994715,-0.00323085,-0.0010560924,0.01269936,0.12647946,0.68288743,-0.035059918,-3.0617284e-06,1.1088357e-06,9.429248e-06,0.00046198728,0.0008364358,-0.00036475973,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,1.1269696e-08,0.0001511485,0.002253653,3.5289813e-06,7.41518e-05,7.353541e-05,2.127325e-06,0.00032762106,0.00032762336,0.00028863834,1.276377e-05,1.2763805e-05,1.2063592e-05,1.1254268e-11,1.1249234e-11,1.4690256e-11,1.7724917e-06,1.7524499e-06,5.000595e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.0050524822,0.0034732684,0.016254786,0.0,0.004971415,0.03957561,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
31373681,0.025649386,0.011502601,0.016511064,0.99946845,0.0018634447,0.0005620274,0.011661474,0.12659709,0.6830751,-0.035309568,-3.0584984e-06,1.0903243e-06,9.326971e-06,0.0004778184,0.0008594813,-0.0003651688,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,3.2363463e-08,0.00023711062,0.0033585627,3.4907853e-06,7.413318e-05,7.349503e-05,2.126056e-06,0.00031879806,0.0003188022,0.00028160075,1.1687365e-05,1.1687391e-05,1.1069623e-05,1.1176631e-11,1.11714605e-11,1.44971994e-11,1.7719202e-06,1.7513133e-06,5.000648e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.0048347446,0.0033271043,0.018499354,0.0,0.0015381266,0.037278593,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
31573679,0.025175918,0.011050152,0.015983323,0.9994942,-0.004087844,0.0028826976,0.010855718,0.1265052,0.6828514,-0.03525632,-3.0759365e-06,1.0958983e-06,9.295926e-06,0.0004917763,0.0008794242,-0.00036551122,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,7.1169275e-08,0.000462861,0.00562039,3.4669858e-06,7.4131545e-05,7.347605e-05,2.1231983e-06,0.00032813617,0.0003281474,0.0002889597,1.2474795e-05,1.2474906e-05,1.1765024e-05,1.1115275e-11,1.11100035e-11,1.4335738e-11,1.7713712e-06,1.7502576e-06,5.000705e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.0049949675,0.0034300182,0.014243763,0.0,0.0005230576,0.03879507,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
31773713,0.02546938,0.011189103,0.015783837,0.9994884,-0.0012120204,0.0031134246,0.01587907,0.12647101,0.68291163,-0.035040583,-3.070452e-06,1.0862108e-06,9.223727e-06,0.0005052299,0.00089879,-0.00036583497,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,7.6503426e-08,0.0005481583,0.0063364175,3.4626853e-06,7.412953e-05,7.345615e-05,2.1219441e-06,0.00034118662,0.00034119972,0.0002993687,1.3848073e-05,1.38482865e-05,1.3010075e-05,1.1058759e-11,1.105342e-11,1.4204168e-11,1.7708907e-06,1.7493292e-06,5.0007646e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.005262733,0.0036069483,0.026558235,0.0,0.0034350257,0.04155954,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
31976881,0.025025733,0.011358031,0.015670383,0.9994995,-8.615125e-05,-0.004960793,0.014947237,0.1264637,0.6827618,-0.035201248,-3.064174e-06,1.0670369e-06,9.171224e-06,0.00051976,0.0009194594,-0.0003661973,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,1.014466e-07,0.00064378756,0.007987707,3.4401087e-06,7.410596e-05,7.341911e-05,2.1208e-06,0.00033166862,0.0003316849,0.00029176442,1.3017061e-05,1.3017295e-05,1.22754e-05,1.0990439e-11,1.098504e-11,1.4054685e-11,1.7704148e-06,1.7484045e-06,5.000819e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.005102387,0.0035036267,0.03745924,0.0,0.00760889,0.04012415,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
32176887,0.024971396,0.011085551,0.015713204,0.99950325,-0.0035331799,-0.0027300995,0.014499164,0.12655433,0.682565,-0.035220418,-3.0290987e-06,1.0595322e-06,9.092738e-06,0.0005340083,0.00093678973,-0.0003667142,0.12176157,1.2911355e-08,0.12265167,0.0,0.0,0.0,0.0,0.0,1.2169583e-07,0.0007477518,0.008977057,3.4224947e-06,7.402346e-05,7.332569e-05,2.1192966e-06,0.00033525252,0.00033527368,0.00029504902,1.2889088e-05,1.2889372e-05,1.2149355e-05,1.0940464e-11,1.0935017e-11,1.3922806e-11,1.7697369e-06,1.7474306e-06,5.0008094e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28675,0.0050772494,0.0034855925,0.017011639,0.0,0.004273156,0.041654233,0.0,0.0,0.0,0.016013,0,0,0,831,24,0,0,0
