timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
22190022,254.86493,38.94,98300.99,1.1679784
22200883,254.35233,38.94,98307.0,1.1680498
22212648,254.78038,38.94,98301.99,1.1679903
22233132,255.2058,38.95,98297.0,1.167931
22243091,254.94948,38.95,98300.0,1.1679666
22254024,254.69318,38.95,98303.0,1.1680022
22275020,254.35233,38.95,98307.0,1.1680498
22285375,254.35233,38.95,98307.0,1.1680498
22296208,254.69318,38.95,98303.0,1.1680022
22317133,254.01146,38.95,98311.0,1.1680973
22328372,254.09602,38.95,98310.0,1.1680855
22339025,254.09602,38.95,98310.0,1.1680855
22361135,254.43687,38.95,98306.0,1.1680379
22373440,254.43687,38.95,98306.0,1.1680379
22384363,254.52142,38.95,98305.0,1.168026
22406019,254.94948,38.95,98300.0,1.1679666
22417109,254.35233,38.95,98307.0,1.1680498
22429188,254.18057,38.95,98309.0,1.1680735
22451062,254.18057,38.94,98309.0,1.1680735
22462028,255.45946,38.94,98294.0,1.1678953
22472319,255.03404,38.94,98299.0,1.1679547
22493138,254.35233,38.95,98307.0,1.1680498
22504667,254.69318,38.95,98303.0,1.1680022
22514194,254.52142,38.95,98305.0,1.168026
22537101,254.43687,38.95,98306.0,1.1680379
22548856,254.94948,38.95,98300.0,1.1679666
22559024,254.86493,38.95,98300.99,1.1679784
22581114,254.09602,38.95,98310.0,1.1680855
22592212,254.26776,38.95,98307.99,1.1680616
22603018,254.52142,38.95,98305.0,1.168026
22625025,254.52142,38.95,98305.0,1.168026
22636726,254.35233,38.95,98307.0,1.1680498
22647022,254.52142,38.95,98305.0,1.168026
22669259,254.18057,38.96,98309.0,1.1680735
22680723,254.52142,38.96,98305.0,1.168026
22691023,254.52142,38.96,98305.0,1.168026
22713136,255.45946,38.94,98294.0,1.1678953
22725257,254.69318,38.94,98303.0,1.1680022
22736190,254.52142,38.94,98305.0,1.168026
22757340,253.92427,38.95,98312.0,1.1681092
22767193,254.86493,38.95,98300.99,1.1679784
22778066,254.94948,38.95,98300.0,1.1679666
22799509,254.78038,38.95,98301.99,1.1679903
22810103,254.86493,38.95,98300.99,1.1679784
22821096,254.69318,38.95,98303.0,1.1680022
22842019,254.69318,38.95,98303.0,1.1680022
22852618,254.69318,38.95,98303.0,1.1680022
22863798,254.60863,38.95,98304.0,1.1680142
22884025,254.26776,38.95,98307.99,1.1680616
22894134,254.94948,38.95,98300.0,1.1679666
22905019,254.35233,38.95,98307.0,1.1680498
22927737,254.26776,38.95,98307.99,1.1680616
22938096,254.43687,38.95,98306.0,1.1680379
22949099,254.86493,38.95,98300.99,1.1679784
22971791,254.09602,38.95,98310.0,1.1680855
22981173,254.52142,38.95,98305.0,1.168026
22992031,255.03404,38.95,98299.0,1.1679547
23013018,254.35233,38.95,98307.0,1.1680498
23024032,254.35233,38.95,98307.0,1.1680498
23034021,255.03404,38.95,98299.0,1.1679547
23056026,254.26776,38.96,98307.99,1.1680616
23066167,254.26776,38.96,98307.99,1.1680616
23077110,254.52142,38.96,98305.0,1.168026
23098024,254.09602,38.95,98310.0,1.1680855
23108530,254.18057,38.95,98309.0,1.1680735
23119540,254.18057,38.95,98309.0,1.1680735
23140060,254.60863,38.95,98304.0,1.1680142
23150061,254.69318,38.95,98303.0,1.1680022
23161123,254.43687,38.95,98306.0,1.1680379
23183450,254.09602,38.96,98310.0,1.1680855
23193173,254.86493,38.96,98300.99,1.1679784
23204035,254.43687,38.96,98306.0,1.1680379
23225111,254.01146,38.96,98311.0,1.1680973
23236684,254.52142,38.96,98305.0,1.168026
23247501,254.78038,38.96,98301.99,1.1679903
23268437,254.52142,38.96,98305.0,1.168026
23278095,254.52142,38.96,98305.0,1.168026
23289141,254.69318,38.96,98303.0,1.1680022
23311407,254.86493,38.96,98300.99,1.1679784
23321179,254.35233,38.96,98307.0,1.1680498
23332018,254.69318,38.96,98303.0,1.1680022
23353104,254.26776,38.95,98307.99,1.1680616
23364730,254.69318,38.95,98303.0,1.1680022
23375393,254.35233,38.95,98307.0,1.1680498
23396031,254.35233,38.96,98307.0,1.1680498
23406065,254.69318,38.96,98303.0,1.1680022
23417019,254.78038,38.96,98301.99,1.1679903
23439517,254.26776,38.96,98307.99,1.1680616
23449215,254.18057,38.96,98309.0,1.1680735
23460070,254.60863,38.96,98304.0,1.1680142
23481111,254.52142,38.96,98305.0,1.168026
23493752,254.52142,38.96,98305.0,1.168026
23504205,254.18057,38.96,98309.0,1.1680735
23525148,254.26776,38.96,98307.99,1.1680616
23535591,253.92427,38.96,98312.0,1.1681092
23546020,254.69318,38.96,98303.0,1.1680022
23568033,254.18057,38.96,98309.0,1.1680735
23578062,254.26776,38.96,98307.99,1.1680616
23589079,254.35233,38.96,98307.0,1.1680498
23610646,254.26776,38.96,98307.99,1.1680616
23620226,254.35233,38.96,98307.0,1.1680498
