timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
21870378,0.15152776,0.0023901279,0.08919647
27295543,0.15462382,0.003283668,0.08861671
27499807,0.14335261,0.0038612345,0.09194546
27700047,0.14977153,0.004262067,0.088661775
27902736,0.14811149,0.002739079,0.090919144
28107010,0.1382634,0.003644414,0.083997905
