timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
22344637,22343276,80000.0,1.0,12.989993,25.011002,0.0,255,0,6,4,0,2,0,0,1,1,43
22531618,22531147,80000.0,1.0,12.989993,25.011002,0.0,1,240,18,4,0,2,0,0,1,1,43
22653318,0,1200.0,0.25786987,0.0,0.40284342,0.0,0,0,0,0,0,0,0,1,0,1,36
23350958,23349803,80000.0,1.0,12.693594,23.035933,0.0,255,0,6,4,0,2,0,0,1,1,43
23533391,23531420,80000.0,1.0,12.693594,23.035933,0.0,1,240,18,4,0,2,0,0,1,1,43
23663230,0,1200.0,0.25786987,0.0,0.41192603,0.0,0,0,0,0,0,0,0,1,0,1,36
24348586,24345666,80000.0,1.0,12.975517,25.373878,0.0,255,0,6,4,0,2,0,0,1,1,43
24531975,24531645,80000.0,1.0,12.975517,25.373878,0.0,1,240,18,4,0,2,0,0,1,1,43
24669157,0,1200.0,0.25786987,0.0,0.37477532,0.0,0,0,0,0,0,0,0,1,0,1,36
25346930,25346075,80000.0,1.0,12.99823,24.98492,0.0,255,0,6,4,0,2,0,0,1,1,43
25535400,25534594,80000.0,1.0,12.99823,24.98492,0.0,1,240,18,4,0,2,0,0,1,1,43
25678880,0,1200.0,0.25786987,0.0,0.5386586,0.0,0,0,0,0,0,0,0,1,0,1,36
26349562,26349530,80000.0,1.0,12.975814,24.901958,0.0,255,0,6,4,0,2,0,0,1,1,43
26534985,26532598,80000.0,1.0,12.975814,24.901958,0.0,1,240,18,4,0,2,0,0,1,1,43
26689270,0,1200.0,0.25786987,0.0,0.3780718,0.0,0,0,0,0,0,0,0,1,0,1,36
27352723,27349226,80000.0,1.0,13.1434555,24.98304,0.0,255,0,6,4,0,2,0,0,1,1,43
27532391,27530982,80000.0,1.0,13.1434555,24.98304,0.0,1,240,18,4,0,2,0,0,1,1,43
27689614,0,1200.0,0.25786987,0.0,0.3780718,0.0,0,0,0,0,0,0,0,1,0,1,36
28350069,28347056,80000.0,1.0,13.0068,24.942265,0.0,255,0,6,4,0,2,0,0,1,1,43
28535923,28532041,80000.0,1.0,13.0068,24.942265,0.0,1,240,18,4,0,2,0,0,1,1,43
28699587,0,1200.0,0.25786987,0.0,0.37791923,0.0,0,0,0,0,0,0,0,1,0,1,36
29356333,29354054,80000.0,1.0,13.013486,25.014246,0.0,255,0,6,4,0,2,0,0,1,1,43
29538467,29533209,80000.0,1.0,13.013486,25.014246,0.0,1,240,18,4,0,2,0,0,1,1,43
29709340,0,1200.0,0.25786987,0.0,0.69133854,0.0,0,0,0,0,0,0,0,1,0,1,36
30345539,30345184,80000.0,1.0,13.009648,24.966892,0.0,255,0,6,4,0,2,0,0,1,1,43
30536412,30535370,80000.0,1.0,13.009648,24.966892,0.0,1,240,18,4,0,2,0,0,1,1,43
30720857,0,1200.0,0.25786987,0.0,0.37776598,0.0,0,0,0,0,0,0,0,1,0,1,36
31354126,31353223,80000.0,1.0,12.984965,24.91254,0.0,255,0,6,4,0,2,0,0,1,1,43
31538864,31534055,80000.0,1.0,12.984965,24.91254,0.0,1,240,18,4,0,2,0,0,1,1,43
31721963,0,1200.0,0.25786987,0.0,0.29856253,0.0,0,0,0,0,0,0,0,1,0,1,36
32347588,32347120,80000.0,1.0,13.014784,24.96136,0.0,255,0,6,4,0,2,0,0,1,1,43
32531154,32530992,80000.0,1.0,13.014784,24.96136,0.0,1,240,18,4,0,2,0,0,1,1,43
32732017,0,1200.0,0.25786987,0.0,0.52063084,0.0,0,0,0,0,0,0,0,1,0,1,36
33355646,33355226,80000.0,1.0,13.085758,24.999523,0.0,255,0,6,4,0,2,0,0,1,1,43
33539002,33534079,80000.0,1.0,13.085758,24.999523,0.0,1,240,18,4,0,2,0,0,1,1,43
33742612,0,1200.0,0.25786987,0.0,0.3780636,0.0,0,0,0,0,0,0,0,1,0,1,36
34354262,34353800,80000.0,1.0,13.001944,25.032013,0.0,255,0,6,4,0,2,0,0,1,1,43
34537584,34533126,80000.0,1.0,13.001944,25.032013,0.0,1,240,18,4,0,2,0,0,1,1,43
34753181,0,1200.0,0.25786987,0.0,0.44221565,0.0,0,0,0,0,0,0,0,1,0,1,36
35352023,35349139,80000.0,1.0,12.949558,24.962992,0.0,255,0,6,4,0,2,0,0,1,1,43
35532285,35531675,80000.0,1.0,12.949558,24.962992,0.0,1,240,18,4,0,2,0,0,1,1,43
35764820,0,1200.0,0.25786987,0.0,0.35292405,0.0,0,0,0,0,0,0,0,1,0,1,36
37353317,37350410,80000.0,1.0,13.043742,25.00991,0.0,255,0,6,4,0,2,0,0,1,1,43
37540668,37536423,80000.0,1.0,13.043742,25.00991,0.0,1,240,18,4,0,2,0,0,1,1,43
37775827,0,1200.0,0.25786987,0.0,0.41379705,0.0,0,0,0,0,0,0,0,1,0,1,36
38351369,38348199,80000.0,1.0,13.097855,24.978718,0.0,255,0,6,4,0,2,0,0,1,1,43
38538952,38534048,80000.0,1.0,13.097855,24.978718,0.0,1,240,18,4,0,2,0,0,1,1,43
38778021,0,1200.0,0.25786987,0.0,0.3767498,0.0,0,0,0,0,0,0,0,1,0,1,36
39349348,39348662,80000.0,1.0,13.011977,24.931376,0.0,255,0,6,4,0,2,0,0,1,1,43
39538298,39534097,80000.0,1.0,13.011977,24.931376,0.0,1,240,18,4,0,2,0,0,1,1,43
39779689,0,1200.0,0.25786987,0.0,0.41460523,0.0,0,0,0,0,0,0,0,1,0,1,36
40344354,40343494,80000.0,1.0,13.008466,25.004595,0.0,255,0,6,4,0,2,0,0,1,1,43
40531822,40531141,80000.0,1.0,13.008466,25.004595,0.0,1,240,18,4,0,2,0,0,1,1,43
40783071,0,1200.0,0.25786987,0.0,0.46146008,0.0,0,0,0,0,0,0,0,1,0,1,36
41339030,41338335,80000.0,1.0,12.983554,25.202078,0.0,255,0,6,4,0,2,0,0,1,1,43
41534789,41533195,80000.0,1.0,12.983554,25.202078,0.0,1,240,18,4,0,2,0,0,1,1,43
41786012,0,1200.0,0.25786987,0.0,0.52646846,0.0,0,0,0,0,0,0,0,1,0,1,36
42352772,42349292,80000.0,1.0,13.099213,24.901562,0.0,255,0,6,4,0,2,0,0,1,1,43
42536840,42536034,80000.0,1.0,13.099213,24.901562,0.0,1,240,18,4,0,2,0,0,1,1,43
