timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
21994163,5.0901856,0.0,0,0,1,0,0,0,0
22494163,5.078906,0.0,0,0,1,0,0,0,0
22994163,5.08374,0.0,0,0,1,0,0,0,0
23504199,5.0901856,0.0,0,0,1,0,0,0,0
24004180,5.0869627,0.0,0,0,1,0,0,0,0
24504213,5.078906,0.0,0,0,1,0,0,0,0
25014173,5.0740724,0.0,0,0,1,0,0,0,0
25514182,5.078906,0.0,0,0,1,0,0,0,0
26014163,5.078906,0.0,0,0,1,0,0,0,0
26514174,5.0724607,0.0,0,0,1,0,0,0,0
27024212,5.0740724,0.0,0,0,1,0,0,0,0
27524193,5.0901856,0.0,0,0,1,0,0,0,0
28024213,5.091797,0.0,0,0,1,0,0,0,0
28524203,5.0611815,0.0,0,0,1,0,0,0,0
29024184,5.0901856,0.0,0,0,1,0,0,0,0
29524198,5.077295,0.0,0,0,1,0,0,0,0
30024200,5.0724607,0.0,0,0,1,0,0,0,0
30524199,5.0966306,0.0,0,0,1,0,0,0,0
31024204,5.093408,0.0,0,0,1,0,0,0,0
31524212,5.0740724,0.0,0,0,1,0,0,0,0
32024198,5.091797,0.0,0,0,1,0,0,0,0
32524209,5.0853515,0.0,0,0,1,0,0,0,0
33034163,5.093408,0.0,0,0,1,0,0,0,0
33534164,5.0756836,0.0,0,0,1,0,0,0,0
34034196,5.093408,0.0,0,0,1,0,0,0,0
34534166,5.093408,0.0,0,0,1,0,0,0,0
35034163,5.054736,0.0,0,0,1,0,0,0,0
35534163,5.0869627,0.0,0,0,1,0,0,0,0
36034168,5.0708494,0.0,0,0,1,0,0,0,0
37544173,5.0805173,0.0,0,0,1,0,0,0,0
38044235,5.0869627,0.0,0,0,1,0,0,0,0
38544176,5.078906,0.0,0,0,1,0,0,0,0
39044187,5.0966306,0.0,0,0,1,0,0,0,0
39544178,5.091797,0.0,0,0,1,0,0,0,0
40054171,5.0901856,0.0,0,0,1,0,0,0,0
40554168,5.078906,0.0,0,0,1,0,0,0,0
41054163,5.069238,0.0,0,0,1,0,0,0,0
41554163,5.0869627,0.0,0,0,1,0,0,0,0
42054198,5.0805173,0.0,0,0,1,0,0,0,0
42554169,5.091797,0.0,0,0,1,0,0,0,0
43054170,5.093408,0.0,0,0,1,0,0,0,0
43554163,5.0869627,0.0,0,0,1,0,0,0,0
44054164,5.082129,0.0,0,0,1,0,0,0,0
44554188,5.0869627,0.0,0,0,1,0,0,0,0
45064204,5.0901856,0.0,0,0,1,0,0,0,0
45564207,5.08374,0.0,0,0,1,0,0,0,0
46064187,5.0901856,0.0,0,0,1,0,0,0,0
46564205,5.093408,0.0,0,0,1,0,0,0,0
47064211,5.0869627,0.0,0,0,1,0,0,0,0
47574179,5.0853515,0.0,0,0,1,0,0,0,0
48074163,5.0869627,0.0,0,0,1,0,0,0,0
48574163,5.091797,0.0,0,0,1,0,0,0,0
49074179,5.093408,0.0,0,0,1,0,0,0,0
49574163,5.0950193,0.0,0,0,1,0,0,0,0
50074166,5.091797,0.0,0,0,1,0,0,0,0
50574163,5.0869627,0.0,0,0,1,0,0,0,0
51074163,5.093408,0.0,0,0,1,0,0,0,0
51574163,5.0901856,0.0,0,0,1,0,0,0,0
52084207,5.091797,0.0,0,0,1,0,0,0,0
52584166,5.091797,0.0,0,0,1,0,0,0,0
53084199,5.0901856,0.0,0,0,1,0,0,0,0
53584234,5.0950193,0.0,0,0,1,0,0,0,0
54084161,5.0901856,0.0,0,0,1,0,0,0,0
