timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
138967294,0,0.0,0.0,0.2888987,0.6181289,-0.036253605,0.26472634,0.68447477,-0.254872,-0.0015252088,-0.00012911537,-0.00056650717,-0.0004845015,-0.0020145755,-0.0010988325,0.0014978752,-0.014159912,0.008685236,-0.011541572,-3.0918899,0.0,0.10017344,0.00056650717,0.0053478805,0.0036937036,0.025856663,0.017299835,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139071270,0,0.0,0.0,0.28878516,0.6181698,-0.036274713,0.26472634,0.68447477,-0.254872,-0.0012300035,0.0003113308,-0.0010340839,-0.0009102298,-0.0020145755,-0.0010988325,0.0014978752,-0.00035848265,0.0015686,0.0027879947,-3.0918882,0.0,0.10022713,0.0010340839,0.0052372892,0.0036152287,0.02597457,0.017368175,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139167270,0,0.0,0.0,0.28873268,0.6182302,-0.036353152,0.26472634,0.68447477,-0.254872,-0.0015238635,0.00013595799,-0.0017547283,-0.0016083311,-0.0020145755,-0.0010988325,0.0014978752,-0.011265759,0.002238306,-0.008200115,-3.0918643,0.0,0.100296065,0.0017547283,0.0051269615,0.003538741,0.025865072,0.017300949,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139271287,0,0.0,0.0,0.2886631,0.61828315,-0.036521606,0.26472634,0.68447477,-0.254872,-0.001647845,0.0006740454,-0.0022799096,-0.0021170604,-0.0020145755,-0.0010988325,0.0014978752,0.011036576,0.037153326,-0.0037518556,-3.0918453,0.0,0.10040801,0.0022799096,0.005191689,0.0035794277,0.026036315,0.017405413,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139375270,0,0.0,0.0,0.28862157,0.6183839,-0.03667714,0.26472634,0.68447477,-0.254872,-0.0020183933,0.0004832452,-0.0018616533,-0.0016669397,-0.0020145755,-0.0010988325,0.0014978752,0.3124475,-0.53082716,0.083976984,-3.0921378,0.0,0.10050282,0.0018616533,0.0052535734,0.0036200404,0.026112683,0.017452713,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139479302,0,0.0,0.0,0.2885072,0.6184326,-0.03675087,0.26472634,0.68447477,-0.254872,-0.0004753613,0.0002970114,-0.0014112743,-0.0011545778,-0.0020145755,-0.0010988325,0.0014978752,0.57433236,0.14258294,0.039937086,-3.0918992,0.0,0.100542545,0.0014112743,0.0053140246,0.0036598274,0.026222706,0.017520335,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139575312,0,0.0,0.0,0.28835824,0.6185171,-0.036768794,0.26472634,0.68447477,-0.254872,-0.002777398,-0.00048273357,-0.0015415519,-0.0012038212,-0.0020145755,-0.0010988325,0.0014978752,0.10184066,0.20237952,-0.100453295,-3.0913646,0.0,0.100553066,0.0015415519,0.005227617,0.0036032908,0.026000407,0.017386774,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139679270,0,0.0,0.0,0.28823546,0.6185673,-0.03669678,0.26472634,0.68447477,-0.254872,-0.0027579756,0.00039627092,0.0004443948,0.00086445204,-0.0020145755,-0.0010988325,0.0014978752,0.19121593,-0.024543416,0.00231161,-3.0919428,0.0,0.10047044,-0.0004443948,0.0053042215,0.003653182,0.026204444,0.017510416,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139783301,0,0.0,0.0,0.28814495,0.6185021,-0.03649684,0.26472634,0.68447477,-0.254872,-0.0016915469,0.0017156827,0.00026714028,0.0007451354,-0.0020145755,-0.0010988325,0.0014978752,-0.078282684,0.7022562,-0.15407327,-3.09128,0.0,0.100265086,-0.00026714028,0.005354138,0.0036864623,0.026287854,0.017561475,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139881689,0,0.0,0.0,0.28812736,0.61857057,-0.03628629,0.26472634,0.68447477,-0.254872,-0.0045335167,0.0016652204,0.0005803449,0.0010927006,-0.0020145755,-0.0010988325,0.0014978752,-1.0046562,0.8708874,-0.5202015,-3.092071,0.0,0.100108445,-0.0005803449,0.005272909,0.0036332419,0.026092842,0.01744361,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
139987270,0,0.0,0.0,0.28812215,0.6184182,-0.036068425,0.26472634,0.68447477,-0.254872,-0.005944602,-0.0030051076,0.0027709187,0.0032787076,-0.0020145755,-0.0010988325,0.0014978752,-0.69202757,0.08058651,0.097105525,-3.0916867,0.0,0.1,-0.0027709187,0.0053769243,0.0037002927,0.026416637,0.017639186,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
140082470,0,0.0,0.0,0.28798765,0.6185249,-0.03590203,0.26472634,0.68447477,-0.254872,-0.0029248367,-0.0011311509,0.0010246994,0.0014886432,-0.0020145755,-0.0010988325,0.0014978752,0.60396576,-0.55380476,0.1972911,-3.0920885,0.0,0.1,-0.0010246994,0.005401643,0.0037166222,0.026681473,0.017827228,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
