timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
138867429,138867272,-0.4191429,0.41722116,-0.00021067889,0.08,0.0,0.0,0.0,-1.0
138967396,138967294,-0.41944325,0.41719136,-0.00017116831,0.08,0.0,0.0,0.0,-1.0
139071342,139071270,-0.4147808,0.42191276,0.00015102602,0.08,0.0,0.0,0.0,-1.0
139171342,139171269,-0.004636227,0.058827315,-0.000106841464,0.08,0.0,0.0,0.0,-1.0
139271362,139271287,-0.0069531747,-0.010740484,3.8107326e-05,0.08,0.0,0.0,0.0,-1.0
139375373,139375270,0.0013806361,0.0018484567,0.0039060444,0.08,0.0,0.0,0.0,-1.0
139479390,139479302,-0.009609272,0.012568143,0.004249575,0.08,0.0,0.0,0.0,-1.0
139579405,139579288,-0.0015599085,0.0037654252,-0.0003420762,0.08,0.0,0.0,0.0,-1.0
139683370,139683293,-0.0016405855,0.0067923344,-0.0018766411,0.08,0.0,0.0,0.0,-1.0
139783393,139783301,-0.0031673391,-0.003547429,-0.007452781,0.08,0.0,0.0,0.0,-1.0
139886561,139886469,0.0028612262,0.016964635,-0.0012463363,0.08,0.0,0.0,0.0,-1.0
139987372,139987270,0.00075085944,-0.00079157273,-0.0008721294,0.08,0.0,0.0,0.0,-1.0
140086562,140086490,-0.011583739,0.005133718,-0.0018024024,0.08,0.0,0.0,0.0,-1.0
140191416,140191270,-0.00093879894,0.005504883,-0.0034358848,0.08,0.0,0.0,0.0,-1.0
140289789,140289714,0.019502155,0.0035562278,-0.0017060183,0.08,0.0,0.0,0.0,-1.0
140394558,140394486,-0.005239416,0.019764597,0.0021425015,0.08,0.0,0.0,0.0,-1.0
140494583,140494470,-0.00010719649,0.01620939,0.00056997477,0.08,0.0,0.0,0.0,-1.0
140594640,140594479,0.0037907434,0.008644799,-0.00012542625,0.08,0.0,0.0,0.0,-1.0
140698592,140698472,-0.013179777,0.010021304,-0.0015972694,0.08,0.0,0.0,0.0,-1.0
140798568,140798496,-0.0013317046,-0.001863131,0.00070196675,0.08,0.0,0.0,0.0,-1.0
140898584,140898494,-0.0076726037,-0.0021211584,-0.000135559,0.08,0.0,0.0,0.0,-1.0
141002542,141002470,0.015420957,0.018946586,-0.0008286806,0.08,0.0,0.0,0.0,-1.0
141102542,141102470,0.009567334,0.012932857,-7.3669466e-06,0.08,0.0,0.0,0.0,-1.0
141206578,141206470,-0.0018625032,-0.009633124,0.0015923076,0.08,0.0,0.0,0.0,-1.0
141306596,141306469,-0.0073595042,-0.016549721,-0.0014591429,0.08,0.0,0.0,0.0,-1.0
141406543,141406470,-0.011116235,-0.0062028808,-0.00035877406,0.08,0.0,0.0,0.0,-1.0
141510579,141510470,-0.010150166,0.02382336,0.0009138047,0.08,0.0,0.0,0.0,-1.0
141610542,141610470,-0.027904294,0.0019228867,0.0025983637,0.08,0.0,0.0,0.0,-1.0
141710542,141710470,-0.008126933,0.002361736,0.0005464119,0.08,0.0,0.0,0.0,-1.0
141814569,141814480,-0.0046069417,0.024174301,-0.0004708475,0.08,0.0,0.0,0.0,-1.0
141914613,141914482,0.017495211,-0.0013157276,-0.0017370258,0.08,0.0,0.0,0.0,-1.0
142018556,142018484,-0.013229568,0.0147770215,-0.0005670038,0.08,0.0,0.0,0.0,-1.0
142122569,142122470,-0.007812816,0.013918168,-0.0014367936,0.08,0.0,0.0,0.0,-1.0
142221788,142221713,-0.0061845,-0.020784115,-0.0016919723,0.08,0.0,0.0,0.0,-1.0
142325791,142325688,0.015665684,-0.014994644,0.0017250711,0.08,0.0,0.0,0.0,-1.0
142425819,142425669,-0.0049896943,-0.00064177887,0.0019563648,0.08,0.0,0.0,0.0,-1.0
142525758,142525685,-0.012238988,0.024932079,-0.00030620684,0.08,0.0,0.0,0.0,-1.0
142629759,142629684,-0.002580524,-0.009983364,0.0005942145,0.08,0.0,0.0,0.0,-1.0
142729770,142729698,-0.011072399,-0.00825239,-0.0007429754,0.08,0.0,0.0,0.0,-1.0
142833742,142833670,0.0053085913,-0.013046205,-0.0009913143,0.08,0.0,0.0,0.0,-1.0
142933759,142933669,-0.010577907,-0.00505038,-0.00042532594,0.08,0.0,0.0,0.0,-1.0
143033817,143033669,-0.007237555,-0.000399615,-0.00029851016,0.08,0.0,0.0,0.0,-1.0
143137803,143137683,0.0079720365,-0.007073433,0.0005775338,0.08,0.0,0.0,0.0,-1.0
143237743,143237670,0.02204818,-0.003314279,0.0010590974,0.08,0.0,0.0,0.0,-1.0
143341789,143341695,-0.0061041163,0.0054426356,-6.9857306e-05,0.08,0.0,0.0,0.0,-1.0
143441817,143441687,0.0138592,-0.00493639,-0.00015456082,0.08,0.0,0.0,0.0,-1.0
143541759,143541669,0.015566667,0.0029745952,0.0009472288,0.08,0.0,0.0,0.0,-1.0
143641784,143641669,-0.0007856006,0.0011395992,-0.00029248063,0.08,0.0,0.0,0.0,-1.0
143745802,143745705,0.010437494,-0.008395859,-0.00043913675,0.08,0.0,0.0,0.0,-1.0
143845821,143845708,0.0007216918,-0.006985283,-0.0004403634,0.08,0.0,0.0,0.0,-1.0
143949745,143949670,-0.011109013,0.0064108907,-0.001328178,0.08,0.0,0.0,0.0,-1.0
144049746,144049671,0.0053075883,0.0010627968,0.0008312409,0.08,0.0,0.0,0.0,-1.0
