timestamp,load,ram_usage
65738126,0.6290379,0.80933934
66744535,0.71170807,0.848491
67747207,0.7036018,0.848491
68748215,0.7105123,0.8487629
69755368,0.710788,0.8487629
70757225,0.7039778,0.8480832
71758939,0.7043605,0.85059816
72759126,0.70486164,0.85059816
73763343,0.71020496,0.85059816
74767794,0.70158863,0.85059816
75768469,0.6940429,0.848491
76779869,0.71160316,0.848491
77783205,0.706396,0.8487629
78785788,0.7050895,0.8487629
79787178,0.7012815,0.8487629
80788464,0.707712,0.85059816
81789979,0.7073574,0.85059816
82794601,0.69545186,0.85059816
83797623,0.70385224,0.85059816
84798927,0.7057985,0.848491
85800233,0.7101682,0.848491
86802132,0.703516,0.8487629
87806256,0.70362973,0.8487629
88808384,0.70761037,0.8487629
89815010,0.71683013,0.8480832
90818069,0.7061113,0.85059816
91820351,0.70488524,0.85059816
92821179,0.70927763,0.85059816
93822534,0.70533633,0.85059816
94823264,0.7128458,0.848491
95825579,0.7081345,0.848491
97828345,0.6879718,0.8487629
98829982,0.70933104,0.8480832
99834437,0.7145721,0.85059816
100835798,0.7047399,0.85059816
101837246,0.69879377,0.85059816
102839344,0.70878786,0.8554921
103842330,0.7136092,0.853385
104843222,0.7053112,0.853385
105847606,0.70460284,0.8536569
106848196,0.7058972,0.8536569
107849488,0.71893847,0.8536569
108850562,0.7085408,0.8554921
109852531,0.7007817,0.8572594
110852744,0.7023697,0.8572594
111854504,0.71196365,0.8572594
112855376,0.7121159,0.85515225
113856999,0.7085694,0.85515225
114859936,0.70701456,0.85515225
115863563,0.70931184,0.85542417
116865783,0.7197529,0.85542417
117866319,0.7140898,0.85474443
118868907,0.7084367,0.8572594
119879607,0.70884573,0.8572594
120880630,0.70885515,0.8572594
121885530,0.71243316,0.8572594
122885900,0.70730144,0.85515225
123886185,0.7045762,0.85515225
124887892,0.711321,0.85542417
125889549,0.7196463,0.85542417
126890173,0.71039367,0.85542417
127897540,0.70419645,0.8572594
128899527,0.70472455,0.8572594
129900196,0.7098675,0.8572594
130900643,0.70956916,0.8572594
131901234,0.70538014,0.85515225
132904976,0.70255995,0.85515225
133907551,0.71018505,0.85542417
134915164,0.7169163,0.85542417
135918599,0.7093477,0.85542417
136919986,0.70647895,0.8572594
137921178,0.7044967,0.8572594
138922959,0.7190831,0.8572594
139926757,0.716884,0.8572594
140927991,0.7048962,0.8572594
141929171,0.7052201,0.85515225
142930827,0.7100817,0.85515225
143935556,0.71898353,0.85542417
144935183,0.7096531,0.85542417
145941286,0.71541524,0.85474443
146944362,0.70813954,0.8572594
147947851,0.70844597,0.8572594
148949644,0.699486,0.8572594
149950004,0.70263994,0.8572594
150951181,0.70200217,0.85515225
151952475,0.70524603,0.85515225
152954434,0.71755993,0.85542417
153955142,0.71598625,0.85542417
154956649,0.70278746,0.85542417
155957454,0.7085465,0.8572594
156958569,0.7124965,0.8572594
157959164,0.70921254,0.8572594
158960861,0.7019409,0.8572594
159961522,0.704319,0.85515225
160963184,0.7041371,0.85515225
161965614,0.71920216,0.85542417
162966427,0.7162399,0.85542417
163969359,0.7074138,0.85542417
164976322,0.7075201,0.85474443
165981007,0.6979292,0.8572594
166983181,0.71675146,0.8572594
167984533,0.7054442,0.8572594
168985739,0.7034738,0.8572594
170990705,0.71061516,0.85515225
171991565,0.7124654,0.85542417
172991385,0.7049305,0.85542417
173993311,0.70023215,0.85474443
174997431,0.6859589,0.8572594
175998438,0.7116897,0.8572594
176999350,0.71441257,0.8572594
178000517,0.7065022,0.8572594
179000480,0.7081238,0.85515225
180003542,0.7063731,0.85515225
181006796,0.7115628,0.85542417
182007173,0.7117524,0.85542417
183012762,0.7059561,0.85542417
184013308,0.7114698,0.8572594
185015398,0.7169158,0.8572594
186018292,0.7149949,0.8572594
187020535,0.7093965,0.8572594
188021444,0.7034157,0.85515225
189023371,0.70051074,0.85515225
190024598,0.7137519,0.85542417
191026875,0.72150105,0.85542417
192028862,0.6997963,0.85542417
193029225,0.7036162,0.85474443
194032999,0.7031005,0.8572594
195036821,0.7067495,0.8572594
196043775,0.706831,0.8572594
197043152,0.70314336,0.8572594
198044578,0.703563,0.85515225
199044411,0.6995945,0.85515225
200047355,0.71772146,0.85542417
201050414,0.7140571,0.85542417
202051148,0.70728326,0.85474443
203053487,0.7079061,0.8572594
204055784,0.70782304,0.8572594
205058135,0.71481776,0.8572594
206059127,0.7164727,0.8572594
207060596,0.7130643,0.85515225
208061300,0.7008365,0.85515225
211065772,0.7184215,0.85542417
212068770,0.70003664,0.8572594
213069571,0.70211434,0.8572594
214071667,0.70413816,0.8572594
215072656,0.7127818,0.8572594
216074116,0.71415067,0.85515225
217075183,0.70025474,0.85515225
218077608,0.70573485,0.85542417
219084612,0.7018199,0.85542417
220087627,0.71907026,0.85542417
221088898,0.71243954,0.85474443
222090677,0.7027508,0.8572594
223093659,0.70506465,0.8572594
224096366,0.709103,0.8572594
225099637,0.71464336,0.8572594
226100174,0.71117574,0.85515225
227102250,0.6965094,0.85515225
228106417,0.7109674,0.85542417
229109475,0.7089342,0.85542417
230111097,0.715169,0.85474443
231115213,0.7159791,0.8572594
232117307,0.71302694,0.8572594
233119754,0.70531934,0.8572594
234120449,0.7019979,0.8572594
235122724,0.71633714,0.85515225
236123413,0.7137048,0.85515225
237126429,0.70528543,0.85542417
238128955,0.71020746,0.85542417
239133659,0.7062229,0.85542417
240139003,0.7125323,0.8572594
241142821,0.7122382,0.8572594
242143129,0.703145,0.8572594
243144691,0.706166,0.8572594
244145302,0.7032373,0.85515225
245146888,0.71223414,0.85515225
246147328,0.7069303,0.85542417
247149280,0.70993555,0.85542417
248150267,0.70787066,0.85542417
249152454,0.7056805,0.85474443
250154285,0.7039299,0.8572594
251155896,0.7181164,0.8572594
252156217,0.70957977,0.8572594
253159127,0.7079013,0.8572594
254160438,0.70444036,0.85515225
255161351,0.7044827,0.85515225
256162886,0.7124264,0.85542417
257163149,0.7083591,0.85542417
258165007,0.7046032,0.85542417
259166439,0.7036494,0.8572594
260167787,0.7030166,0.8572594
261168795,0.69527876,0.8572594
