timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
26907270,-0.0026744246,-0.0015020798,0.0038597933,3980,0,0.060940027,-0.12323868,-9.748365,3980
26911270,-0.0018250119,-0.0012929895,0.0034210037,4000,0,0.073706806,-0.120429546,-9.738593,4000
26915276,-0.0020469963,-0.003093417,0.003418698,4006,0,0.06678014,-0.09679728,-9.746492,4006
26919269,-0.0009837701,-0.00042945676,0.0035130796,3993,0,0.057078626,-0.10294823,-9.7709675,3993
26923312,-0.0008785297,-0.0006526354,0.0036147102,4043,0,0.06111177,-0.11263877,-9.763974,4043
26927273,-0.0022890756,-0.0022355828,0.0024643159,3961,0,0.0671652,-0.10196508,-9.754995,3961
26931306,-0.0010993986,-0.0032988365,0.002546111,4033,0,0.07926837,-0.11411246,-9.750155,4033
26935293,-0.00033474245,-0.0029722212,0.0038000045,3987,0,0.07577538,-0.10530204,-9.754802,3987
26939270,-0.0002617006,-0.0009565816,0.0023216517,3977,0,0.07154779,-0.09679307,-9.749426,3977
26943278,0.000505145,-0.0011777964,0.00337591,4008,0,0.070555024,-0.08619582,-9.749827,4008
26947276,-0.0018536218,-0.0019226485,0.0025703576,3998,0,0.07856534,-0.088065065,-9.760414,3998
26951290,-0.0007801665,-0.0033003928,0.0029648612,4014,0,0.07421422,-0.09388495,-9.759923,4014
26955289,-0.00013522881,-0.0031857886,0.0033774788,3999,0,0.07892804,-0.0933363,-9.766178,3999
26959270,-0.0010037274,-0.0026557234,0.0024448475,3981,0,0.07411577,-0.10580085,-9.765132,3981
26963298,-0.0011658547,-0.00053751696,0.00479944,4028,0,0.069602095,-0.099514246,-9.773577,4028
26967269,-0.0014897842,-0.0023502235,0.0045797806,3971,0,0.07559948,-0.08122961,-9.786882,3971
26971302,-0.0016204066,-0.0013871639,0.0034160519,4033,0,0.05634708,-0.0946274,-9.80503,4033
26975286,-0.0018124505,-0.0017216328,0.004903505,3984,0,0.063362055,-0.09799402,-9.7941885,3984
26979270,-0.0019058303,-0.002463228,0.0050122133,3984,0,0.07406293,-0.08373576,-9.767464,3984
26983288,0.00019321454,-0.0018184518,0.0038003696,4018,0,0.07111851,-0.0775939,-9.746006,4018
26987320,-0.0014266318,-0.0025515174,0.0024398041,4032,0,0.05792529,-0.07907738,-9.728699,4032
26991269,-0.00048197815,-0.0009531722,0.0020153243,3949,0,0.053729523,-0.09011996,-9.7457695,3949
26995270,0.0018887392,-0.0011740533,0.0033412462,4001,0,0.06608025,-0.10779327,-9.755986,4001
26999270,-0.0004999212,-0.0027649037,0.00094105455,4000,0,0.06686532,-0.09335815,-9.766375,4000
27003345,-0.0013073239,0.0003152019,0.0026727535,4075,0,0.07260607,-0.100129515,-9.767585,4075
27007270,0.0037332368,0.00044342605,0.0012699923,3925,0,0.07428873,-0.2273286,-9.740496,3925
27011283,-0.016672725,-0.0041712327,0.014787189,4013,0,0.06650982,0.22392811,-9.80893,4013
27015272,0.01565824,0.0028196208,0.015101556,3989,0,0.05890974,-0.10596846,-9.752526,3989
27018505,-0.008040386,-0.00043510058,0.015528794,3233,0,0.07829755,-0.5534235,-9.686389,3233
27022531,-0.028028939,-0.005739901,0.021245496,4026,0,0.11912568,0.38506955,-9.849966,4026
27027269,0.018709445,0.0023124197,0.024206761,4738,0,0.011185515,-0.19080995,-9.692005,4738
27031278,-0.020392792,-0.001248559,0.021795738,4009,0,0.082527906,-0.15072167,-9.733866,4009
27035270,-0.008650843,0.00031959693,0.023044996,3992,0,0.2139194,0.1246111,-9.7828,3992
27039281,0.022325106,-0.016772665,0.0143165365,4011,0,0.029517235,-0.1537677,-9.6810055,4011
27043319,-0.0057108616,0.005498983,0.009578858,4038,0,-0.45396566,-0.7152178,-9.751359,4038
27047270,-0.018201027,0.020292817,0.00684437,3951,0,0.6794782,0.5244393,-9.885373,3951
27051285,0.04199381,-0.03937041,0.0077805026,4015,0,-0.20925598,-0.60482806,-9.527673,4015
27055272,-0.028085716,0.024281038,-0.0002697016,3987,0,-0.2009151,-0.25349826,-9.751544,3987
27059287,0.016712079,0.00065661455,0.0011209229,4015,0,0.49761716,0.062919706,-9.923452,4015
27063301,0.015395929,-0.027845094,0.00156288,4014,0,-0.19228539,-0.37393895,-9.627677,4014
27067273,0.0028023596,0.017200503,-0.00065364386,3972,0,0.016268644,0.07109408,-9.753711,3972
27070504,0.007931054,0.0023375636,-0.0020901072,3231,0,0.30698687,-0.24320054,-9.777832,3231
27074470,-0.0020924138,-0.016120376,-0.0069642104,3966,0,0.014770989,-0.20970963,-9.706231,3966
27078474,0.0022322854,0.0018436721,-0.005805243,4004,0,-0.083372355,0.33856532,-9.833856,4004
27082478,0.025213864,0.009600676,-0.009650586,4004,0,0.21399876,-0.4125873,-9.723242,4004
27087270,-0.033287365,-0.014805167,-0.011131865,4792,0,0.03628839,0.011948945,-9.670321,4792
27091297,0.03306548,0.015355615,-0.017790083,4027,0,-0.09017753,-0.042075448,-9.822066,4027
27095270,-0.030957574,0.006774081,-0.008770482,3973,0,0.34883964,-0.6756319,-9.691672,3973
27099303,-0.0056115617,-0.021278832,-0.0081473235,4033,0,-0.1751413,0.700957,-9.700221,4033
27103294,0.026124086,0.03508354,-0.01984733,3991,0,0.19795685,-1.0063674,-9.643594,3991
27107270,-0.06629113,-0.032007117,-0.0014304726,3976,0,0.107645646,0.6557214,-9.80786,3976
