timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
26680073,0.04780184,-0.071719505,0.11383167
26699267,0.055388376,-0.08303582,0.12595776
26708874,0.04259421,-0.081165254,0.12777536
26719269,0.05570995,-0.094365425,0.14131929
26728868,0.053653635,-0.073669724,0.13065952
26739267,0.049923014,-0.088674076,0.1275896
26748077,0.06625322,-0.08676368,0.11954745
26759268,0.053459402,-0.08113871,0.12138119
26768069,0.062524304,-0.082995996,0.11655832
26779267,0.049860187,-0.069888756,0.1245884
26787309,0.05198204,-0.07933451,0.13837864
26796868,0.05191888,-0.06430361,0.13536131
26807276,0.062718876,-0.0717726,0.12585282
26816871,0.07004768,-0.07928141,0.12566707
26827268,0.07004768,-0.07928141,0.12566707
26836081,0.04998855,-0.07742413,0.13072008
26847311,0.06104661,-0.084946215,0.1335396
26856068,0.06824706,-0.08491967,0.12722218
26867268,0.04992403,-0.077410854,0.12763809
26884867,0.0496663,-0.073603354,0.11532624
26895267,0.05538804,-0.08679023,0.1259416
26904876,0.0663174,-0.09053137,0.12261328
26915267,0.05525968,-0.079254866,0.119809926
26925668,0.05525968,-0.079254866,0.119809926
26935284,0.059054133,-0.0717726,0.12592953
26944068,0.04818861,-0.07555356,0.13230753
26955280,0.066384286,-0.06426378,0.12580843
26964079,0.05519347,-0.09801363,0.1166471
26983280,0.06278238,-0.083049096,0.12888631
26994468,0.04253003,-0.07739758,0.12470951
27003336,0.053331047,-0.073603354,0.11524952
27013671,0.044718094,-0.068084575,0.14166258
27023301,0.044718094,-0.068084575,0.14166258
27032115,0.06079023,-0.06612108,0.12129241
27042475,0.042465173,-0.08113871,0.12161134
27052090,0.048060253,-0.0680182,0.12617585
27062467,0.046389006,-0.06992858,0.13391113
27071293,0.055581253,-0.090584464,0.13517144
27082469,0.048058897,-0.08303582,0.1261112
27091288,0.03500734,-0.073603354,0.11563311
27102467,0.047995396,-0.07175933,0.12307768
27111280,0.06098074,-0.099950574,0.13039295
27120078,0.057253852,-0.07365645,0.12750082
27130467,0.055389054,-0.075527005,0.1259901
27140076,0.06104492,-0.10371825,0.1334588
27150467,0.048124768,-0.068031475,0.12925784
27160076,0.048124768,-0.068031475,0.12925784
27170481,0.057124477,-0.07738431,0.121320635
27179269,0.060855087,-0.062379945,0.12439058
27190477,0.04259387,-0.08491967,0.1277592
27199280,0.044072915,-0.06795183,0.11084255
27208869,0.044072915,-0.06795183,0.11084255
27218467,0.042401668,-0.06986221,0.11857783
27228069,0.059117295,-0.0868035,0.12894687
