timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
26707584,-0.46070772,0.41652712,2.9638314,0.0,0.03752979,-0.22033401,-0.20463847,0.95297825,0.0,0.0,-0.08,1,0,0,0,0,0
26807550,-0.49072647,0.3797602,2.9664893,0.0,0.037625194,-0.20324507,-0.22162,0.95297444,0.0,0.0,-0.08,1,0,0,0,0,0
26907544,-0.1819737,-0.00021679726,3.06266,0.0,0.039302725,-0.0034771678,-0.09079487,0.99508774,0.0,0.0,-0.08,1,0,0,0,0,0
27011482,-0.0031007659,-0.0009808553,3.0627413,0.0,0.039416183,0.00042893694,-0.0015685078,0.9992216,0.0,0.0,-0.08,1,0,0,0,0,0
27111489,-0.00016490674,9.163225e-05,3.0628529,0.0,0.039359722,-4.9025966e-05,-8.0586164e-05,0.9992251,0.0,0.0,-0.08,1,0,0,0,0,0
27214714,-4.8994625e-06,2.2087236e-06,3.0639656,0.0,0.0388038,-1.198589e-06,-2.4050328e-06,0.99924684,0.0,0.0,-0.08,1,0,0,0,0,0
27314667,-2.6485587e-09,-5.0701217e-09,3.0638149,0.0,0.038879085,2.4816573e-09,-1.4218389e-09,0.9992439,0.0,0.0,-0.08,1,0,0,0,0,0
27414713,5.587526e-09,-2.842636e-09,3.0633097,0.0,0.0391315,1.5295535e-09,2.7360048e-09,0.9992341,0.0,0.0,-0.08,1,0,0,0,0,0
27518774,0.0,-0.0,3.0621853,0.0,0.03969325,0.0,0.0,0.9992119,0.0,0.0,-0.08,1,0,0,0,0,0
27618684,0.0,-0.0,3.0640213,0.0,0.03877593,0.0,0.0,0.9992479,0.0,0.0,-0.08,1,0,0,0,0,0
27718789,0.0,-0.0,3.0625885,0.0,0.03949183,0.0,0.0,0.9992199,0.0,0.0,-0.08,1,0,0,0,0,0
27822755,0.0,-0.0,3.0626347,0.0,0.03946872,0.0,0.0,0.9992208,0.0,0.0,-0.08,1,0,0,0,0,0
27922780,0.0,-0.0,3.0649664,0.0,0.038303733,0.0,0.0,0.99926615,0.0,0.0,-0.08,1,0,0,0,0,0
28026770,0.0,-0.0,3.0616884,0.0,0.039941486,0.0,0.0,0.999202,0.0,0.0,-0.08,1,0,0,0,0,0
28126774,0.0,-0.0,3.0602725,0.0,0.040648896,0.0,0.0,0.99917346,0.0,0.0,-0.0964614,1,0,0,0,0,0
28226834,0.0,-0.0,3.060538,-4.48802e-22,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.13482556,1,0,0,0,0,0
28330693,0.0,-0.0,3.060538,-2.7015053e-23,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.15745066,1,0,0,0,0,0
28430790,0.0,-0.0,3.060538,-1.8142514e-25,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.15713954,1,0,0,0,0,0
28534676,0.0,-0.0,3.060538,2.637393e-27,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.19315705,1,0,0,0,0,0
28634685,0.0,-0.0,3.060538,3.4827176e-28,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.19022854,1,0,0,0,0,0
28734662,0.0,-0.0,3.060538,3.4795186e-30,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.19031154,1,0,0,0,0,0
28838746,0.0,-0.0,3.060538,-2.2709138e-31,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.19031326,1,0,0,0,0,0
28942723,0.0,-0.0,3.060538,-4.1524147e-33,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.19031326,1,0,0,0,0,0
29045112,0.0,-0.0,3.060538,-5.2267955e-35,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.19031326,1,0,0,0,0,0
29149178,0.0,-0.0,3.060538,2.1503848e-36,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.19031326,1,0,0,0,0,0
29249925,0.0,-0.0,3.060538,4.6319352e-38,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.19697605,1,0,0,0,0,0
29349892,0.0,-0.0,3.060538,-1.18691e-40,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.23188849,1,0,0,0,0,0
29453862,0.0,-0.0,3.060538,-1.829e-41,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.24900404,1,0,0,0,0,0
29553893,0.0,-0.0,3.060538,-4.85e-43,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.24901491,1,0,0,0,0,0
29657986,0.0,-0.0,3.060538,-0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.2490122,1,0,0,0,0,0
29761992,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.24901205,1,0,0,0,0,0
29861892,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.24901205,1,0,0,0,0,0
29965905,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.25080487,1,0,0,0,0,0
30069967,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.2821916,1,0,0,0,0,0
30169861,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.28134155,1,0,0,0,0,0
30273901,-0.0015388748,-0.0,3.060538,0.0,0.040516194,-3.117468e-05,-0.00076880556,0.9991786,0.0,0.0,-0.30245245,1,0,0,0,0,0
30373897,-0.012307875,-0.0,3.060538,0.0,0.040515438,-0.00024933263,-0.006148846,0.99915993,0.0,0.0,-0.34373385,1,0,0,0,0,0
30473951,0.00067577686,-0.0,3.060538,0.0,0.0405162,1.3689957e-05,0.00033761098,0.9991788,0.0,0.0,-0.34212807,1,0,0,0,0,0
30577910,4.606673e-07,-0.0,3.060538,0.0,0.040516205,9.332245e-09,2.3014452e-07,0.9991789,0.0,0.0,-0.34212023,1,0,0,0,0,0
30677879,-7.657525e-07,-0.0,3.060538,0.0,0.040516205,-1.5512692e-08,-3.8256186e-07,0.9991789,0.0,0.0,-0.34212047,1,0,0,0,0,0
30777907,-9.918215e-09,-0.0,3.060538,0.0,0.040516205,-2.0092421e-10,-4.9550355e-09,0.9991789,0.0,0.0,-0.3421205,1,0,0,0,0,0
30880469,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.3421205,1,0,0,0,0,0
30981981,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.3421205,1,0,0,0,0,0
31085064,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.34212047,1,0,0,0,0,0
31185064,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.34882075,1,0,0,0,0,0
31289182,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.37231305,1,0,0,0,0,0
31389220,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.37249836,1,0,0,0,0,0
31489108,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.3735139,1,0,0,0,0,0
31593102,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.37455055,1,0,0,0,0,0
31697113,0.0,-0.0,3.060538,0.0,0.040516205,0.0,0.0,0.9991789,0.0,0.0,-0.3745051,1,0,0,0,0,0
